symbol,entry_date,exit_date,return,reason
CELH,2016-09-21,2016-09-28,-0.0009995002498748295,Fixed_5D
RCAT,2016-09-22,2016-09-29,0.0406255205730468,Fixed_5D
UUUU,2016-09-27,2016-10-04,-0.007615391331586396,Fixed_5D
UAMY,2016-09-28,2016-10-05,0.04657197912374622,Fixed_5D
NVO,2016-09-30,2016-10-07,-0.021656894728705356,Fixed_5D
NLR,2016-10-05,2016-10-12,-0.005458356652363605,Fixed_5D
GLD,2016-10-05,2016-10-12,-0.009601598650711196,Fixed_5D
BND,2016-10-05,2016-10-12,-0.002555447787916054,Fixed_5D
CCJ,2016-10-07,2016-10-14,0.016749282860966774,Fixed_5D
NVDA,2016-10-07,2016-10-14,-0.013851259324809018,Fixed_5D
MU,2016-10-12,2016-10-19,0.02519590082191825,Fixed_5D
ON,2016-10-12,2016-10-19,0.005003133666235948,Fixed_5D
RCAT,2016-10-14,2016-10-21,-0.0009995002498748295,Fixed_5D
PANW,2016-10-17,2016-10-24,0.03683937402209314,Fixed_5D
MCD,2016-10-19,2016-10-26,0.0066326126759732595,Fixed_5D
LTBR,2016-10-21,2016-10-28,0.3650464321132205,Fixed_5D
RCAT,2016-10-26,2016-11-02,0.9980009995002503,Fixed_5D
BND,2016-10-28,2016-11-04,-3.7744886793422694e-05,Fixed_5D
UNH,2016-10-28,2016-11-04,-0.019790811934276564,Fixed_5D
KTOS,2016-11-02,2016-11-09,0.14618293356409606,Fixed_5D
VOO,2016-11-04,2016-11-11,0.03703435363595031,Fixed_5D
MGK,2016-11-04,2016-11-11,0.021791791715981335,Fixed_5D
GOOG,2016-11-04,2016-11-11,-0.011487458728917765,Fixed_5D
NVO,2016-11-07,2016-11-14,-0.03550830879324529,Fixed_5D
BND,2016-11-11,2016-11-18,-0.007855356271384895,Fixed_5D
GLD,2016-11-14,2016-11-21,-0.005559564349446822,Fixed_5D
LTBR,2016-11-15,2016-11-22,-0.03745939449968261,Fixed_5D
UAMY,2016-11-16,2016-11-23,-0.06545117947390822,Fixed_5D
KTOS,2016-11-18,2016-11-28,0.13145582055815974,Fixed_5D
NVO,2016-11-23,2016-12-01,0.061655569478345607,Fixed_5D
PANW,2016-11-29,2016-12-06,-0.03263426473607056,Fixed_5D
AMZN,2016-11-30,2016-12-07,0.025420642078072708,Fixed_5D
NVDA,2016-12-01,2016-12-08,0.06557009469218911,Fixed_5D
POWI,2016-12-01,2016-12-08,0.09590672135816769,Fixed_5D
MRVL,2016-12-01,2016-12-08,0.018294534161482634,Fixed_5D
UAMY,2016-12-08,2016-12-15,0.3063853305631079,Fixed_5D
LEU,2016-12-08,2016-12-15,0.09115921614199052,Fixed_5D
LTBR,2016-12-12,2016-12-19,0.00800049587550511,Fixed_5D
SIVR,2016-12-15,2016-12-22,-0.01312791433178262,Fixed_5D
ABAT,2016-12-22,2016-12-30,0.15766527676302444,Fixed_5D
SHOP,2016-12-22,2016-12-30,0.06614765000118727,Fixed_5D
CELH,2016-12-27,2017-01-04,0.06016371083684602,Fixed_5D
UUUU,2016-12-28,2017-01-05,0.29870068143253303,Fixed_5D
UAMY,2017-01-04,2017-01-11,0.19880064733620606,Fixed_5D
NVDA,2017-01-17,2017-01-24,0.060456146862525095,Fixed_5D
ANET,2017-01-17,2017-01-24,0.047008658241397994,Fixed_5D
LEU,2017-01-30,2017-02-06,0.013323074096907472,Fixed_5D
UUUU,2017-01-30,2017-02-06,-0.015004277409683575,Fixed_5D
ABAT,2017-02-08,2017-02-15,0.103063054564146,Fixed_5D
NVDA,2017-02-17,2017-02-27,-0.02727178790992768,Fixed_5D
UAMY,2017-02-17,2017-02-27,-0.024785204493190438,Fixed_5D
UUUU,2017-03-06,2017-03-13,0.0415111822262777,Fixed_5D
CELH,2017-03-07,2017-03-14,0.16550063527433068,Fixed_5D
UAMY,2017-04-03,2017-04-10,0.07209810083505808,Fixed_5D
UAMY,2017-04-18,2017-04-25,0.22100055567138654,Fixed_5D
CELH,2017-04-19,2017-04-26,0.18687210149792333,Fixed_5D
UAMY,2017-05-08,2017-05-15,0.28442920181239106,Fixed_5D
UAMY,2017-08-24,2017-08-31,0.03122629134192456,Fixed_5D
UAMY,2017-09-11,2017-09-18,-0.0009995002498750516,Fixed_5D
UAMY,2017-10-05,2017-10-12,0.03742367517034406,Fixed_5D
UAMY,2017-11-02,2017-11-09,0.13522784677649224,Fixed_5D
UAMY,2017-11-24,2017-12-01,0.22604612323730544,Fixed_5D
