Group,Ticker,Strategy,Win Rate,Avg Trade %,Trades,Total Return,Max Drawdown
Group A (Final Pool),ABAT,MOC (Delayed),0.6537634408602151,0.01170792582230362,465,158.5746691596679,-0.22913616577539142
Group A (Final Pool),SMR,MOC (Delayed),0.6216216216216216,0.004753213946124191,259,1.983053431965307,-0.31586589863660897
Group A (Final Pool),LTBR,MOC (Delayed),0.6204379562043796,0.005867429823414403,411,8.909367442917414,-0.2779170063976224
Group A (Final Pool),NVDA,MOC (Delayed),0.6051873198847262,0.002888365105362473,347,1.4376038042623076,-0.2841972338681634
Group A (Final Pool),NLR,MOC (Delayed),0.6038251366120219,0.0016938014876117257,366,0.8110873979311175,-0.13220254694598546
Group A (Final Pool),UUUU,MOC (Delayed),0.6010230179028133,0.004244374872433782,391,3.6414570026175994,-0.22452131080180654
Group A (Final Pool),VOO,MOC (Delayed),0.5889212827988338,0.0005031447718354805,343,0.16692083791557888,-0.13696550172943123
Group A (Final Pool),IONQ,MOC (Delayed),0.5872576177285319,0.0030851244354762096,361,1.6886749146242823,-0.22878389459023177
Group A (Final Pool),CIFR,MOC (Delayed),0.5872576177285319,0.005861061988713956,361,5.354087302354758,-0.30438826134086117
Group A (Final Pool),TSLA,MOC (Delayed),0.5805626598465473,0.003831955329286737,391,2.748812760627804,-0.2382766248042375
Group A (Final Pool),AMZN,MOC (Delayed),0.579746835443038,0.001528695184404772,395,0.7310316647295503,-0.20974807454316494
Group A (Final Pool),IREN,MOC (Delayed),0.5778546712802768,0.005904113425585568,289,3.3801360836795356,-0.4129339448605453
Group A (Final Pool),GLD,MOC (Delayed),0.5746478873239437,0.0008933768859165416,355,0.35972068337216956,-0.10609977155600502
Group A (Final Pool),LEU,MOC (Delayed),0.5728155339805825,0.0030786403788086013,412,1.9705659967999485,-0.46207209016059303
Group A (Final Pool),MCD,MOC (Delayed),0.5721649484536082,0.00017650898519242322,388,0.05427723410330865,-0.1884639011934231
Group A (Final Pool),CELH,MOC (Delayed),0.5710526315789474,0.002142991746790882,380,1.0413892146049961,-0.20515455485164757
Group A (Final Pool),OKLO,MOC (Delayed),0.5669291338582677,0.004769553163526726,254,2.1320381081450615,-0.1610183618259492
Group A (Final Pool),MSFT,MOC (Delayed),0.5668449197860963,0.0012969266190147872,374,0.5679271285653542,-0.14023782252180142
Group A (Final Pool),MGK,MOC (Delayed),0.5650887573964497,0.00022826084245296358,338,0.05433212967287737,-0.17652953333259638
Group A (Final Pool),V,MOC (Delayed),0.5632183908045977,-4.892508661670767e-05,348,-0.04554977527430404,-0.1945010451946204
Group A (Final Pool),WWR,MOC (Delayed),0.5623409669211196,0.007964707286139091,393,11.889948162150834,-0.4058698223167398
Group A (Final Pool),ACHR,MOC (Delayed),0.5623342175066313,0.003260898932580414,377,2.0747657748371187,-0.21489750346142578
Group A (Final Pool),GRAB,MOC (Delayed),0.5619834710743802,0.0026721371136903755,363,1.4203138124495753,-0.25584628413223925
Group A (Final Pool),ANET,MOC (Delayed),0.5604395604395604,0.0009674196299762883,364,0.3313206873514323,-0.19441215371420145
Group A (Final Pool),TMDX,MOC (Delayed),0.5597189695550351,0.0033369237829840434,427,2.5434200716721507,-0.2846452638155683
Group A (Final Pool),CEG,MOC (Delayed),0.5583333333333333,0.0021413559010663844,240,0.6234527165179173,-0.14501950846089667
Group A (Final Pool),EOSE,MOC (Delayed),0.5581395348837209,0.004207940880392964,387,3.0935201844806466,-0.2547065041918839
Group A (Final Pool),RXRX,MOC (Delayed),0.5565476190476191,0.0014690270899577814,336,0.5251047620875979,-0.2912030550897065
Group A (Final Pool),MU,MOC (Delayed),0.555,0.0012028171769977926,400,0.5013201536488416,-0.2820556527527476
Group A (Final Pool),FI,MOC (Delayed),0.5537190082644629,7.509018035979604e-05,363,-0.015255091507950569,-0.17990394629747009
Group A (Final Pool),KTOS,MOC (Delayed),0.5504087193460491,0.0013992360134007955,367,0.570310904455235,-0.20053959796832538
Group A (Final Pool),CCJ,MOC (Delayed),0.5491606714628298,0.0010573911010202932,417,0.4607813644316525,-0.232777436226772
Group A (Final Pool),OPEN,MOC (Delayed),0.5487804878048781,0.0027831206391106434,410,1.5248352635105058,-0.42073519646530755
Group A (Final Pool),TSM,MOC (Delayed),0.542997542997543,0.0009764504754543326,407,0.40281989633503246,-0.296525707065924
Group A (Final Pool),ORCL,MOC (Delayed),0.5412087912087912,0.0007037287748999614,364,0.24834558643096605,-0.14702229793913124
Group A (Final Pool),MRVL,MOC (Delayed),0.5406824146981627,0.0018705747609623112,381,0.8704976660967514,-0.23472776890182823
Group A (Final Pool),SOFI,MOC (Delayed),0.5376044568245125,0.0033963349870307718,359,1.9824339761786702,-0.30025995576614556
Group A (Final Pool),TTD,MOC (Delayed),0.5373493975903615,3.1097774951918714e-05,415,-0.09988015139036455,-0.47441821675967544
Group A (Final Pool),GOOG,MOC (Delayed),0.5368731563421829,0.0003206467698310805,339,0.08416591906486004,-0.14836711126170682
Group A (Final Pool),BND,MOC (Delayed),0.5365239294710328,0.00012623106198568973,397,0.048954779872531606,-0.057743624461430026
Group A (Final Pool),SIVR,MOC (Delayed),0.5361930294906166,-0.0001376323619120246,373,-0.09365659345325528,-0.5119194206796709
Group A (Final Pool),BE,MOC (Delayed),0.5331807780320366,0.0015057808556638412,437,0.5855875468732601,-0.41354910674021034
Group A (Final Pool),SPOT,MOC (Delayed),0.5326633165829145,0.0014001395039489808,398,0.6150526499295668,-0.18798002674702394
Group A (Final Pool),CRWD,MOC (Delayed),0.5320855614973262,0.0009396528434696245,374,0.24631792647948636,-0.346433422401691
Group A (Final Pool),ADBE,MOC (Delayed),0.5319693094629157,-0.0007277637486108664,391,-0.29154537987592843,-0.4339581698317929
Group A (Final Pool),NET,MOC (Delayed),0.531328320802005,-0.00018436026815288163,399,-0.163164274078329,-0.5234493905892917
Group A (Final Pool),PANW,MOC (Delayed),0.5302593659942363,0.0005543963891964804,347,0.1017585883330947,-0.28322532085974583
Group A (Final Pool),DUOL,MOC (Delayed),0.5302013422818792,0.0004121320636785863,298,0.03609953651067421,-0.3043530960089508
Group A (Final Pool),GLW,MOC (Delayed),0.5289256198347108,0.0005656672576280356,363,0.17450680719523337,-0.26445240044092766
Group A (Final Pool),QBTS,MOC (Delayed),0.5287671232876713,0.007255435366661609,365,9.872398441863615,-0.2879172041200817
Group A (Final Pool),LRCX,MOC (Delayed),0.5284552845528455,0.00010063905506214936,369,-0.029918339167863572,-0.32606316824198855
Group A (Final Pool),NVO,MOC (Delayed),0.5281173594132029,0.0006614772252924182,409,0.19382598412985597,-0.4501420873341446
Group A (Final Pool),PLTR,MOC (Delayed),0.5277777777777778,0.001115631863974412,360,0.3495573952706137,-0.304961753472878
Group A (Final Pool),SHOP,MOC (Delayed),0.5260545905707196,0.0014807206444937707,403,0.5998283869349883,-0.34969358363049197
Group A (Final Pool),QCOM,MOC (Delayed),0.5249343832020997,0.0001591991001815354,381,0.017408154834402056,-0.2584588155737002
Group A (Final Pool),POWI,MOC (Delayed),0.5244444444444445,-0.00014375865537285065,450,-0.10481820218602766,-0.32002306855934687
Group A (Final Pool),BROS,MOC (Delayed),0.5244299674267101,0.00040502026619040476,307,-0.0432263110406379,-0.49585879435500796
Group A (Final Pool),UBER,MOC (Delayed),0.5240384615384616,0.0009740809600030048,416,0.3638056251115702,-0.4405590905509032
Group A (Final Pool),AMD,MOC (Delayed),0.523696682464455,0.0003631586785630958,422,0.08438528198391526,-0.26871526414550817
Group A (Final Pool),VST,MOC (Delayed),0.5195530726256983,0.0010274194455662433,358,0.38645542052013004,-0.14687484705319537
Group A (Final Pool),ABNB,MOC (Delayed),0.518840579710145,-0.0007892774782136482,345,-0.2786494261438873,-0.4081390113994359
Group A (Final Pool),IBM,MOC (Delayed),0.5175202156334232,-0.0002881218302490166,371,-0.12122903039012778,-0.19876386998040668
Group A (Final Pool),UNH,MOC (Delayed),0.5168831168831168,-0.0006142715768719341,385,-0.2535689459610201,-0.3499964645488472
Group A (Final Pool),ONDS,MOC (Delayed),0.5129533678756477,0.0031438857888209807,386,1.2288112390781918,-0.5035120744523791
Group A (Final Pool),NVTS,MOC (Delayed),0.5094339622641509,0.005962021616416692,318,2.0827692674944354,-0.38690792724638
Group A (Final Pool),DDOG,MOC (Delayed),0.5091863517060368,0.0004959802730273773,381,0.06727809125457762,-0.40571496558268383
Group A (Final Pool),MP,MOC (Delayed),0.5077319587628866,0.0017263884722447172,388,0.7931751892878498,-0.36584303248059197
Group A (Final Pool),STX,MOC (Delayed),0.5065616797900262,-0.00022166273214291673,381,-0.1260463427080395,-0.33151856453824025
Group A (Final Pool),APP,MOC (Delayed),0.5017421602787456,0.0025336622411883595,287,0.8168037193617672,-0.36134353626462434
Group A (Final Pool),LUMN,MOC (Delayed),0.5011709601873536,0.0006784861816352048,427,0.10906368891191032,-0.4766699227405436
Group A (Final Pool),FUBO,MOC (Delayed),0.4988179669030733,0.0014871047772157958,423,0.4684919132254035,-0.5811922539093775
Group A (Final Pool),ON,MOC (Delayed),0.49869451697127937,-0.0010376208629368673,383,-0.3750512876266465,-0.5090884465697304
Group A (Final Pool),UPST,MOC (Delayed),0.49868073878627966,-0.001233772750294517,379,-0.6044572473001991,-0.8446185154859963
Group A (Final Pool),REMX,MOC (Delayed),0.496551724137931,0.000744433624134205,435,0.302596365135285,-0.22462521148328002
Group A (Final Pool),SOUN,MOC (Delayed),0.4961832061068702,0.0043423405364533445,262,1.3799250342786316,-0.37351837095538565
Group A (Final Pool),HIMS,MOC (Delayed),0.49604221635883905,0.0012067581741085432,379,0.35379205502011746,-0.4089687197299831
Group A (Final Pool),SNOW,MOC (Delayed),0.49575070821529743,0.0006171178096049784,353,0.12240825773152131,-0.3125743822002813
Group A (Final Pool),UAMY,MOC (Delayed),0.49337748344370863,0.0013988019000503286,302,0.16417792736543424,-0.5146100238412477
Group A (Final Pool),OSCR,MOC (Delayed),0.49333333333333335,9.42810166045159e-05,375,-0.12069201657411588,-0.439570734059562
Group A (Final Pool),DOCN,MOC (Delayed),0.4887005649717514,0.0005174845196970172,354,0.03405666858988421,-0.5406856078605954
Group A (Final Pool),U,MOC (Delayed),0.4671916010498688,-0.0006759944761318034,381,-0.3470090435347295,-0.5620135752830254
Group A (Final Pool),HOOD,MOC (Delayed),0.4444444444444444,-0.0018407128239733297,297,-0.48776132786043,-0.641601246819107
Group A (Final Pool),OKLO,MOC (No Delay),0.6144578313253012,0.0006680536032440604,249,-0.046525987634793764,-0.5160342268131688
Group A (Final Pool),MGK,MOC (No Delay),0.5946745562130178,0.0029629547748446262,338,1.5560575509471888,-0.1318513175771957
Group A (Final Pool),GLD,MOC (No Delay),0.5887323943661972,0.0007199387029148034,355,0.26773306316150514,-0.16326239848574878
Group A (Final Pool),NVDA,MOC (No Delay),0.5677233429394812,0.005527495700866479,347,4.239086163955682,-0.22866323674128727
Group A (Final Pool),SNOW,MOC (No Delay),0.5674931129476584,0.0027194838001911763,363,1.1318687666532883,-0.26066740057656185
Group A (Final Pool),GOOG,MOC (No Delay),0.5663716814159292,0.0023107600208193075,339,1.038156092768694,-0.15223759835492875
Group A (Final Pool),FI,MOC (No Delay),0.5621621621621622,0.0021217983322782182,370,1.0358581074856765,-0.15828998801929484
Group A (Final Pool),UNH,MOC (No Delay),0.561038961038961,0.0010410592132179186,385,0.3543224306285033,-0.32858613924890795
Group A (Final Pool),CEG,MOC (No Delay),0.5523012552301255,0.0030608522785466044,239,0.8410673410818603,-0.3104543995914128
Group A (Final Pool),VOO,MOC (No Delay),0.5510204081632653,0.0015837178233484427,343,0.6426525253965021,-0.14974275462382614
Group A (Final Pool),ORCL,MOC (No Delay),0.5509641873278237,0.0038999666638024765,363,2.6781588700250927,-0.14485003118417436
Group A (Final Pool),MSFT,MOC (No Delay),0.5495978552278821,0.0030164089709154903,373,1.8328641162351702,-0.1464740361203827
Group A (Final Pool),MCD,MOC (No Delay),0.5492227979274611,0.0013808068214812234,386,0.6119308047335201,-0.13821534439501715
Group A (Final Pool),LRCX,MOC (No Delay),0.546448087431694,0.0038506666451828464,366,2.4352390567570943,-0.3171437068611563
Group A (Final Pool),VST,MOC (No Delay),0.5462184873949579,0.004186454019793652,357,2.8104750182279443,-0.1833834485444453
Group A (Final Pool),QCOM,MOC (No Delay),0.5459317585301837,0.00232924044938104,381,1.1359994608024309,-0.24196855438130171
Group A (Final Pool),BND,MOC (No Delay),0.5421994884910486,0.00017982048962200922,391,0.06720494460603166,-0.0722943722492154
Group A (Final Pool),TSM,MOC (No Delay),0.541871921182266,0.0037826480361015263,406,3.1114202632573633,-0.22864276118695215
Group A (Final Pool),KTOS,MOC (No Delay),0.5413333333333333,0.001301432644645355,375,0.32617870432451457,-0.3707740553998513
Group A (Final Pool),SHOP,MOC (No Delay),0.5401459854014599,0.0018000754920216259,411,0.5182011735182599,-0.5920523594798013
Group A (Final Pool),V,MOC (No Delay),0.54,0.0009242731013969888,350,0.2938958665503679,-0.23613494460164677
Group A (Final Pool),SPOT,MOC (No Delay),0.5396039603960396,0.0012472487269504023,404,0.37481762765430315,-0.4615440398954062
Group A (Final Pool),CRWD,MOC (No Delay),0.5394736842105263,-0.00040233045910288863,380,-0.330245094675803,-0.6365669847534262
Group A (Final Pool),NVO,MOC (No Delay),0.5354523227383863,7.107428243119696e-05,409,-0.08469528880901322,-0.49452509396545213
Group A (Final Pool),MRVL,MOC (No Delay),0.5354330708661418,0.002844223323462378,381,1.4128073994625145,-0.3387165006297061
Group A (Final Pool),GRAB,MOC (No Delay),0.532258064516129,0.0021271490230400625,372,0.5317228784225643,-0.6585344827179169
Group A (Final Pool),GLW,MOC (No Delay),0.5303867403314917,0.000998820995108148,362,0.3303134878317684,-0.20271247570158826
Group A (Final Pool),UUUU,MOC (No Delay),0.529126213592233,0.005777289046406007,412,5.807929982547869,-0.32331771509243473
Group A (Final Pool),SIVR,MOC (No Delay),0.5291005291005291,-0.000563696057967701,378,-0.2522355741205984,-0.46849986801301874
Group A (Final Pool),TSLA,MOC (No Delay),0.5268542199488491,0.0003014256817351592,391,-0.2729804131684772,-0.7555250365256484
Group A (Final Pool),AMZN,MOC (No Delay),0.5265822784810127,0.001169923604171844,395,0.4295324585959446,-0.3734694647289012
Group A (Final Pool),NET,MOC (No Delay),0.5261845386533666,0.0006833583962246128,401,-0.09992546011420844,-0.6049160232203968
Group A (Final Pool),UAMY,MOC (No Delay),0.5221932114882507,0.008976835092899718,383,12.644387204952771,-0.5085968005510472
Group A (Final Pool),CCJ,MOC (No Delay),0.5205811138014528,0.0026380717434615806,413,1.4855704190476313,-0.23996029120916076
Group A (Final Pool),IBM,MOC (No Delay),0.5202156334231806,0.0001802612857878192,371,-0.0010365803856385858,-0.24954425521000415
Group A (Final Pool),MU,MOC (No Delay),0.52,0.0009670884835559909,400,0.21967841942892985,-0.4931812995982413
Group A (Final Pool),ADBE,MOC (No Delay),0.5188916876574308,0.002046558174960982,397,0.9770803602359943,-0.29624703109949674
Group A (Final Pool),ANET,MOC (No Delay),0.5173333333333333,0.0005272871907250076,375,0.04473157183956511,-0.44300504115618217
Group A (Final Pool),LTBR,MOC (No Delay),0.5154867256637168,0.006672722937993091,452,7.358901504729005,-0.4792860882196718
Group A (Final Pool),DDOG,MOC (No Delay),0.5152284263959391,-0.00031010936383686394,394,-0.3323377906149958,-0.5547246866882171
Group A (Final Pool),NLR,MOC (No Delay),0.5150684931506849,0.0002564560119369977,365,0.04076683862767161,-0.2902987495555248
Group A (Final Pool),TTD,MOC (No Delay),0.513189448441247,0.0013257801920627992,417,0.19512607815718663,-0.5039904639671314
Group A (Final Pool),MP,MOC (No Delay),0.5128205128205128,0.0036732595488934826,390,2.0422539216167266,-0.47202838431401806
Group A (Final Pool),AMD,MOC (No Delay),0.5106382978723404,0.003234936227319837,423,2.084495660106969,-0.3749733727830917
Group A (Final Pool),CELH,MOC (No Delay),0.5076923076923077,0.0031124351904906734,390,1.159552290657392,-0.5494650192896685
Group A (Final Pool),APP,MOC (No Delay),0.5068027210884354,6.954702773914367e-05,294,-0.30066577351817114,-0.7529699039461378
Group A (Final Pool),DUOL,MOC (No Delay),0.5066225165562914,-0.0006834204710734386,302,-0.3707120648428559,-0.5426667329537224
Group A (Final Pool),DOCN,MOC (No Delay),0.5054945054945055,-0.0007543963226851048,364,-0.4539092984817005,-0.6156176294173924
Group A (Final Pool),PANW,MOC (No Delay),0.5041782729805014,-0.00010894605761454688,359,-0.21276086896694235,-0.3753973822458743
Group A (Final Pool),LEU,MOC (No Delay),0.5035460992907801,0.0023327451805669093,423,0.3941966731877433,-0.6705463862534624
Group A (Final Pool),SMR,MOC (No Delay),0.5018050541516246,0.004504081817883187,277,1.1709767730441825,-0.6615820819985481
Group A (Final Pool),ON,MOC (No Delay),0.49740932642487046,0.0012974474933691374,386,0.25571494011571194,-0.349989569836518
Group A (Final Pool),STX,MOC (No Delay),0.49606299212598426,0.0004986890180374088,381,0.04528726461603605,-0.4027486133370734
Group A (Final Pool),ABNB,MOC (No Delay),0.49570200573065903,0.000885513828157879,349,0.1533331781286298,-0.27663945453167377
Group A (Final Pool),HIMS,MOC (No Delay),0.49489795918367346,0.0011088317389380653,392,0.0880605496702378,-0.563529326842113
Group A (Final Pool),RXRX,MOC (No Delay),0.4927536231884058,-0.000123631627347051,345,-0.42185552867758713,-0.71013976752008
Group A (Final Pool),TMDX,MOC (No Delay),0.4919908466819222,0.0013961731413030664,437,0.20422518877362128,-0.5576495283851765
Group A (Final Pool),HOOD,MOC (No Delay),0.4900662251655629,-0.0007933285275436299,302,-0.3911112095302861,-0.77304549235194
Group A (Final Pool),WWR,MOC (No Delay),0.48769574944071586,0.0011355875793568754,447,-0.06670382131861508,-0.554051484441032
Group A (Final Pool),POWI,MOC (No Delay),0.4866666666666667,0.0009316085316471461,450,0.2457493931386825,-0.3547638603613929
Group A (Final Pool),LUMN,MOC (No Delay),0.4864864864864865,0.00021495785063539082,444,-0.4161322226316033,-0.7362363419279765
Group A (Final Pool),QBTS,MOC (No Delay),0.48548812664907653,-0.00039578824180810295,379,-0.6883390767727935,-0.8680852130376487
Group A (Final Pool),BE,MOC (No Delay),0.4841628959276018,0.0012866479912915171,442,-0.18563719139575408,-0.6726933429594065
Group A (Final Pool),OPEN,MOC (No Delay),0.4801864801864802,0.0007330959709718391,429,-0.425612017674574,-0.8347633345714068
Group A (Final Pool),CIFR,MOC (No Delay),0.4754521963824289,-0.002206184436458497,387,-0.8229454552850786,-0.95139363772419
Group A (Final Pool),UBER,MOC (No Delay),0.4748201438848921,-0.00032731273928116874,417,-0.3635938255812733,-0.6969030199875667
Group A (Final Pool),REMX,MOC (No Delay),0.47453703703703703,-3.5749471943630825e-06,432,-0.14974267030544774,-0.4975369349701649
Group A (Final Pool),OSCR,MOC (No Delay),0.46582278481012657,-0.0005512085568296939,395,-0.4482438667380013,-0.7765575882003388
