Group,Ticker,Max Drawdown_MOC (Delayed),Max Drawdown_MOC (No Delay),Total Return_MOC (Delayed),Total Return_MOC (No Delay),Win Rate_MOC (Delayed),Win Rate_MOC (No Delay),Diff_Total_Return,Diff_Win_Rate,Diff_Max_Drawdown
Group A (Final Pool),ABAT,-0.22913616577539142,-0.8166954490159257,158.5746691596679,-0.18082485063701914,0.6537634408602151,0.4492481203007519,158.75549401030491,0.2045153205594632,0.5875592832405343
Group A (Final Pool),WWR,-0.4058698223167398,-0.554051484441032,11.889948162150834,-0.06670382131861508,0.5623409669211196,0.48769574944071586,11.956651983469449,0.0746452174804037,0.14818166212429223
Group A (Final Pool),QBTS,-0.2879172041200817,-0.8680852130376487,9.872398441863615,-0.6883390767727935,0.5287671232876713,0.48548812664907653,10.560737518636408,0.04327899663859475,0.580168008917567
Group A (Final Pool),CIFR,-0.30438826134086117,-0.95139363772419,5.354087302354758,-0.8229454552850786,0.5872576177285319,0.4754521963824289,6.177032757639837,0.111805421346103,0.6470053763833289
Group B (Toxic Pool),AMC,-0.7828898338622453,-0.9879677783592453,4.913502904470448,-0.9695487257032167,0.5521472392638037,0.4215686274509804,5.883051630173664,0.13057861181282332,0.205077944497
Group B (Toxic Pool),KOSS,-0.2502604618779959,-0.7992341298501219,5.833195289211232,0.025477823572138902,0.5138248847926268,0.47198275862068967,5.807717465639093,0.04184212617193711,0.548973667972126
Group A (Final Pool),IREN,-0.4129339448605453,-0.8475008627401297,3.3801360836795356,-0.6737703159063186,0.5778546712802768,0.4533762057877814,4.053906399585854,0.12447846549249542,0.4345669178795844
Group B (Toxic Pool),CLOV,-0.2283670962792979,-0.7705722127977594,2.715812770091799,-0.6136472396601887,0.5569007263922519,0.45351473922902497,3.3294600097519877,0.10338598716322689,0.5422051165184616
Group A (Final Pool),TSLA,-0.2382766248042375,-0.7555250365256484,2.748812760627804,-0.2729804131684772,0.5805626598465473,0.5268542199488491,3.021793173796281,0.053708439897698246,0.5172484117214109
Group B (Toxic Pool),RENT,-0.231321472259358,-0.9557547450990729,1.823020175317836,-0.8932163887522558,0.5521472392638037,0.4358974358974359,2.716236564070092,0.11624980336636781,0.7244332728397149
Group A (Final Pool),ACHR,-0.21489750346142578,-0.7811039453885319,2.0747657748371187,-0.5430664145451757,0.5623342175066313,0.4485294117647059,2.6178321893822942,0.11380480574192536,0.5662064419271061
Group A (Final Pool),IONQ,-0.22878389459023177,-0.8852389176875451,1.6886749146242823,-0.7604682927216558,0.5872576177285319,0.4533333333333333,2.449143207345938,0.1339242843951986,0.6564550230973134
Group A (Final Pool),TMDX,-0.2846452638155683,-0.5576495283851765,2.5434200716721507,0.20422518877362128,0.5597189695550351,0.4919908466819222,2.3391948828985294,0.06772812287311286,0.27300426456960813
Group A (Final Pool),NVTS,-0.38690792724638,-0.8073047566379118,2.0827692674944354,-0.1735311052458578,0.5094339622641509,0.4491017964071856,2.2563003727402933,0.060332165856965325,0.4203968293915318
Group A (Final Pool),EOSE,-0.2547065041918839,-0.875433014177914,3.0935201844806466,0.8401976259460162,0.5581395348837209,0.43795620437956206,2.2533225585346304,0.12018333050415886,0.6207265099860301
