Group,Ticker,Max Drawdown_MOC (Delayed),Max Drawdown_MOO (Benchmark),Total Return_MOC (Delayed),Total Return_MOO (Benchmark),Win Rate_MOC (Delayed),Win Rate_MOO (Benchmark),Diff_Total_Return,Diff_Win_Rate,Diff_Max_Drawdown
Group A (Final Pool),ABAT,-0.22913616577539142,-0.7629490337747015,158.5746691596679,-0.06559562121526386,0.6537634408602151,0.44776119402985076,158.64026478088317,0.20600224683036433,0.53381286799931
Group A (Final Pool),WWR,-0.4058698223167398,-0.7202593487104425,11.889948162150834,0.20359841157660652,0.5623409669211196,0.486784140969163,11.686349750574227,0.07555682595195656,0.3143895263937027
Group A (Final Pool),QBTS,-0.2879172041200817,-0.8011021041296899,9.872398441863615,-0.379536455496142,0.5287671232876713,0.47058823529411764,10.251934897359757,0.05817888799355364,0.5131849000096081
Group A (Final Pool),CIFR,-0.30438826134086117,-0.9359930119111761,5.354087302354758,-0.785958527937889,0.5872576177285319,0.4987012987012987,6.140045830292647,0.08855631902723321,0.631604750570315
Group B (Toxic Pool),AMC,-0.7828898338622453,-0.9681784756956006,4.913502904470448,-0.47716298687759495,0.5521472392638037,0.44246031746031744,5.390665891348043,0.10968692180348627,0.18528864183335525
Group B (Toxic Pool),KOSS,-0.2502604618779959,-0.8021013939451752,5.833195289211232,1.9202111820480456,0.5138248847926268,0.45052631578947366,3.912984107163186,0.06329856900315312,0.5518409320671793
Group A (Final Pool),IREN,-0.4129339448605453,-0.8539593783792173,3.3801360836795356,-0.3350504579744781,0.5778546712802768,0.4642857142857143,3.7151865416540137,0.11356895699456249,0.441025433518672
Group B (Toxic Pool),CLOV,-0.2283670962792979,-0.7497570798467141,2.715812770091799,-0.24987871258058836,0.5569007263922519,0.48758465011286684,2.965691482672387,0.06931607627938502,0.5213899835674163
Group B (Toxic Pool),RENT,-0.231321472259358,-0.9328965224759682,1.823020175317836,-0.8953209848059739,0.5521472392638037,0.45738636363636365,2.71834116012381,0.09476087562744007,0.7015750502166103
Group A (Final Pool),EOSE,-0.2547065041918839,-0.883618890508764,3.0935201844806466,0.5116945521305165,0.5581395348837209,0.4617283950617284,2.58182563235013,0.09641113982199251,0.6289123863168801
Group A (Final Pool),ACHR,-0.21489750346142578,-0.796027474614257,2.0747657748371187,-0.43733740343646543,0.5623342175066313,0.44607843137254904,2.512103178273584,0.11625578613408222,0.5811299711528313
Group A (Final Pool),IONQ,-0.22878389459023177,-0.8848485614042185,1.6886749146242823,-0.6548044362181904,0.5872576177285319,0.493368700265252,2.3434793508424727,0.09388891746327993,0.6560646668139868
Group A (Final Pool),SOUN,-0.37351837095538565,-0.7811646491353416,1.3799250342786316,-0.6902953723458372,0.4961832061068702,0.4456140350877193,2.0702204066244687,0.05056917101915093,0.4076462781799559
Group A (Final Pool),NVTS,-0.38690792724638,-0.739956929893841,2.0827692674944354,0.06220005083628388,0.5094339622641509,0.4471299093655589,2.0205692166581515,0.06230405289859203,0.353049002647461
Group A (Final Pool),ONDS,-0.5035120744523791,-0.9423947121256648,1.2288112390781918,-0.7619233187276522,0.5129533678756477,0.45985401459854014,1.990734557805844,0.053099353277107575,0.4388826376732857
Group A (Final Pool),OPEN,-0.42073519646530755,-0.8306714662695464,1.5248352635105058,-0.3123520645311759,0.5487804878048781,0.4942263279445728,1.8371873280416817,0.05455415986030532,0.4099362698042388
Group B (Toxic Pool),OPEN,-0.42073519646530755,-0.8306714662695464,1.5248352635105058,-0.3123520645311759,0.5487804878048781,0.4942263279445728,1.8371873280416817,0.05455415986030532,0.4099362698042388
Group B (Toxic Pool),MARA,-0.6061478837490808,-0.8514247999448513,1.163597732404348,-0.49632231212021616,0.5296610169491526,0.49793388429752067,1.659920044524564,0.031727132651631906,0.24527691619577052
Group B (Toxic Pool),PSNY,-0.26341165805430256,-0.912672931324381,0.7951300868288671,-0.8553783216591143,0.5609756097560976,0.4404432132963989,1.6505084084879815,0.12053239645969871,0.6492612732700784
Group B (Toxic Pool),BIRD,-0.36381433221122356,-0.8666547989885294,0.8123899364166169,-0.7971707659256038,0.5964285714285714,0.46511627906976744,1.6095607023422207,0.13131229235880398,0.5028404667773059
Group B (Toxic Pool),LCID,-0.4633098888135577,-0.8574703938294322,0.7860883435131474,-0.8182769220871797,0.559322033898305,0.4373522458628842,1.604365265600327,0.12196978803542086,0.3941605050158745
Group A (Final Pool),OKLO,-0.1610183618259492,-0.42542551497855335,2.1320381081450615,0.7426920054254715,0.5669291338582677,0.5285171102661597,1.38934610271959,0.03841202359210805,0.26440715315260416
Group A (Final Pool),SMR,-0.31586589863660897,-0.6646819304979712,1.983053431965307,0.9053011384354992,0.6216216216216216,0.5217391304347826,1.0777522935298078,0.099882491186839,0.34881603186136223
Group B (Toxic Pool),DNA,-0.27476393136225913,-0.8221687203975704,0.2962841299599379,-0.7666547972813437,0.5571428571428572,0.424,1.0629389272412815,0.13314285714285717,0.5474047890353113
Group B (Toxic Pool),BBBY,-0.3738454736046765,-0.8599229170232332,0.13300044795180743,-0.8355653933372551,0.5188284518828452,0.4725050916496945,0.9685658412890625,0.0463233602331507,0.4860774434185567
Group A (Final Pool),APP,-0.36134353626462434,-0.7486048902712519,0.8168037193617672,-0.0684125557872699,0.5017421602787456,0.49829351535836175,0.8852162751490371,0.003448644920383881,0.38726135400662753
Group A (Final Pool),GRAB,-0.25584628413223925,-0.6852747208866141,1.4203138124495753,0.5543591466997029,0.5619834710743802,0.5354330708661418,0.8659546657498725,0.0265504002082384,0.42942843675437486
Group A (Final Pool),RXRX,-0.2912030550897065,-0.7383130469525798,0.5251047620875979,-0.3071049657057383,0.5565476190476191,0.5029239766081871,0.8322097277933362,0.05362364243943196,0.4471099918628733
Group A (Final Pool),SOFI,-0.30025995576614556,-0.6408651474586808,1.9824339761786702,1.2697250791905472,0.5376044568245125,0.5054347826086957,0.712708896988123,0.032169674215816846,0.3406051916925353
Group A (Final Pool),LUMN,-0.4674054497584599,-0.7924886928873098,0.12869726427731543,-0.5489810716771442,0.5023474178403756,0.4780701754385965,0.6776783359544596,0.024277242401779142,0.32508324312884995
Group A (Final Pool),UBER,-0.4405590905509032,-0.6950797121915683,0.3638056251115702,-0.29889179393119647,0.5240384615384616,0.4904306220095694,0.6626974190427667,0.03360783952889218,0.2545206216406651
Group A (Final Pool),HIMS,-0.4089687197299831,-0.6962513735342284,0.35379205502011746,-0.252842787749731,0.49604221635883905,0.48214285714285715,0.6066348427698485,0.013899359215981899,0.2872826538042453
Group A (Final Pool),OSCR,-0.439570734059562,-0.8493239878228299,-0.12069201657411588,-0.7095325487567967,0.49333333333333335,0.4430379746835443,0.5888405321826808,0.05029535864978907,0.40975325376326793
Group B (Toxic Pool),BYND,-0.7124305718146954,-0.9443038445773528,-0.31516032013795503,-0.8991916991221754,0.524896265560166,0.47904191616766467,0.5840313789842204,0.045854349392501326,0.23187327276265746
Group A (Final Pool),FUBO,-0.5811922539093775,-0.8534852210242875,0.4684919132254035,-0.02092564337117664,0.4988179669030733,0.4765957446808511,0.48941755659658015,0.0222222222222222,0.27229296711491
Group A (Final Pool),TMDX,-0.2846452638155683,-0.5271393008779668,2.5434200716721507,2.056220376039583,0.5597189695550351,0.5192743764172335,0.4871996956325675,0.04044459313780158,0.24249403706239847
Group B (Toxic Pool),REAL,-0.5781126161544524,-0.9448787678890062,-0.43947592962794635,-0.910607598107053,0.508557457212714,0.4522144522144522,0.4711316684791067,0.056343004998261725,0.36676615173455374
Group A (Final Pool),PLTR,-0.304961753472878,-0.7203661836278202,0.3495573952706137,-0.06169238538714317,0.5277777777777778,0.4931129476584022,0.41124978065775686,0.0346648301193756,0.4154044301549422
Group B (Toxic Pool),CVNA,-0.561429428765471,-0.7284160740269209,1.6094380407346822,1.2097932639246451,0.508235294117647,0.47306791569086654,0.3996447768100371,0.03516737842678047,0.1669866452614499
Group A (Final Pool),DDOG,-0.40571496558268383,-0.6095465659222856,0.06727809125457762,-0.3148290984161545,0.5091863517060368,0.5,0.3821071896707321,0.009186351706036766,0.2038316003396018
Group A (Final Pool),DOCN,-0.5406856078605954,-0.7038818794131115,0.03405666858988421,-0.3432845341171499,0.4887005649717514,0.4986225895316804,0.3773412027070341,-0.009922024559929021,0.16319627155251615
Group B (Toxic Pool),BZFD,-0.7259770664383746,-0.9115278204773748,-0.5483004815005175,-0.8735880309851158,0.47126436781609193,0.45866666666666667,0.32528754948459837,0.012597701149425267,0.18555075403900023
Group A (Final Pool),NLR,-0.13220289478192393,-0.2046933507202477,0.8110859820933587,0.500230018209266,0.6038251366120219,0.5203252032520326,0.31085596388409265,0.08349993335998929,0.07249045593832376
Group A (Final Pool),STX,-0.3315206247605184,-0.5885782290821029,-0.12604598460738992,-0.4288195842625445,0.5039370078740157,0.48556430446194226,0.3027735996551546,0.018372703412073477,0.2570576043215845
Group A (Final Pool),PANW,-0.28322532085974583,-0.38041660014795536,0.1017585883330947,-0.09630896449401316,0.5302593659942363,0.5279329608938548,0.19806755282710786,0.0023264051003815123,0.09719127928820953
Group A (Final Pool),GLD,-0.10609977155600502,-0.21557838395114282,0.35972068337216956,0.1626208190385099,0.5746478873239437,0.5549295774647888,0.19709986433365967,0.019718309859154903,0.1094786123951378
Group A (Final Pool),SHOP,-0.34969358363049197,-0.625997865795613,0.5998283869349883,0.40776554684438415,0.5260545905707196,0.5109489051094891,0.19206284009060415,0.015105685461230478,0.27630428216512104
Group A (Final Pool),SIVR,-0.5119194206796709,-0.6093521012778592,-0.09365659345325528,-0.28145742201939816,0.5361930294906166,0.5401069518716578,0.18780082856614289,-0.003913922381041157,0.09743268059818833
Group A (Final Pool),IBM,-0.19876380851080416,-0.31209893245425474,-0.12122892037484312,-0.26850261960294175,0.5121293800539084,0.4972972972972973,0.14727369922809863,0.014832082756611076,0.11333512394345058
Group B (Toxic Pool),GME,-0.501767247685135,-0.8065129992530171,0.2707559771192727,0.12418887298632608,0.4636363636363636,0.4934210526315789,0.1465671041329466,-0.029784688995215303,0.3047457515678821
Group A (Final Pool),CRWD,-0.346433422401691,-0.5271465673532892,0.24631792647948636,0.10770520282150042,0.5320855614973262,0.5526315789473685,0.13861272365798594,-0.020546017450042253,0.18071314495159824
Group A (Final Pool),REMX,-0.22462521148328002,-0.3373871545306536,0.302596365135285,0.1712616668808924,0.496551724137931,0.496551724137931,0.1313346982543926,0.0,0.11276194304737358
Group A (Final Pool),U,-0.5620135752830254,-0.7436680014452114,-0.3470090435347295,-0.4644401097216634,0.4671916010498688,0.4649350649350649,0.11743106618693389,0.0022565361148038643,0.18165442616218597
Group A (Final Pool),BROS,-0.49585879435500796,-0.5527381111419475,-0.0432263110406379,-0.14171405150109073,0.5244299674267101,0.5064516129032258,0.09848774046045283,0.017978354523484286,0.05687931678693953
Group A (Final Pool),UAMY,-0.5146100238412477,-0.6873627232170404,0.16417792736543424,0.11597657289217067,0.49337748344370863,0.4754521963824289,0.04820135447326357,0.017925287061279715,0.17275269937579274
Group A (Final Pool),BE,-0.41354910674021034,-0.6266951359972974,0.5855875468732601,0.5429711786174511,0.5331807780320366,0.5079365079365079,0.042616368255808945,0.025244270095528654,0.2131460292570871
Group B (Toxic Pool),AFRM,-0.5059653580459355,-0.7896110344315813,0.15711832237997547,0.11859417548127937,0.494475138121547,0.5068119891008175,0.0385241468986961,-0.012336850979270508,0.28364567638564586
Group A (Final Pool),GLW,-0.2644515139168831,-0.28922352851638,0.17450898640849632,0.14722378988139972,0.5399449035812672,0.5041322314049587,0.0272851965270966,0.03581267217630857,0.024772014599496905
Group B (Toxic Pool),RIOT,-0.6377214895096942,-0.9180772620714331,0.10888340195175039,0.09236758921425725,0.5201793721973094,0.519650655021834,0.01651581273749314,0.0005287171754753128,0.28035577256173894
Group A (Final Pool),BND,-0.05775011856116784,-0.10471625608442414,0.04737283979975393,0.03588639097632096,0.5378787878787878,0.5126262626262627,0.011486448823432971,0.025252525252525193,0.046966137523256304
Group A (Final Pool),SPOT,-0.18798002674702394,-0.3600985476033449,0.6150526499295668,0.6239248678218157,0.5326633165829145,0.5420792079207921,-0.008872217892248901,-0.009415891337877569,0.17211852085632098
Group A (Final Pool),TTD,-0.47441821675967544,-0.5298243823875762,-0.09988015139036455,-0.0815544518736725,0.5373493975903615,0.5,-0.01832569951669205,0.03734939759036149,0.055406165627900794
Group A (Final Pool),NET,-0.5234493905892917,-0.7398536700995058,-0.163164274078329,-0.13203296810017306,0.531328320802005,0.5161290322580645,-0.031131305978155943,0.015199288543940481,0.21640427951021401
Group B (Toxic Pool),UPST,-0.8446185154859963,-0.8909245300566749,-0.6044572473001991,-0.5532475189637625,0.49868073878627966,0.4763157894736842,-0.051209728336436666,0.022364949312595472,0.04630601457067862
Group A (Final Pool),UPST,-0.8446185154859963,-0.8909245300566749,-0.6044572473001991,-0.5532475189637625,0.49868073878627966,0.4763157894736842,-0.051209728336436666,0.022364949312595472,0.04630601457067862
Group A (Final Pool),DUOL,-0.3043530960089508,-0.40029925165784636,0.03609953651067421,0.1773312366207178,0.5302013422818792,0.5132450331125827,-0.1412317001100436,0.01695630916929647,0.09594615564889558
Group A (Final Pool),SNOW,-0.3125743822002813,-0.5198961321632031,0.12240825773152131,0.2975757049325616,0.49575070821529743,0.49586776859504134,-0.17516744720104027,-0.00011706037974390515,0.2073217499629218
