Ticker,Category,Prev Close,Gap Threshold (+0.5%),Action
AFRM,Toxic/Meme (Priority),69.03,69.38,SELL OPEN
AMC,Toxic/Meme (Priority),2.16,2.17,SELL OPEN
BB,Toxic/Meme (Priority),4.35,4.37,SELL OPEN
BBBY,Toxic/Meme (Priority),6.39,6.42,SELL OPEN
BIRD,Toxic/Meme (Priority),4.59,4.61,SELL OPEN
BYND,Toxic/Meme (Priority),1.18,1.19,SELL OPEN
BZFD,Toxic/Meme (Priority),1.19,1.2,SELL OPEN
CLOV,Toxic/Meme (Priority),2.75,2.76,SELL OPEN
CVNA,Toxic/Meme (Priority),472.73,475.09,SELL OPEN
GME,Toxic/Meme (Priority),21.86,21.97,SELL OPEN
KOSS,Toxic/Meme (Priority),4.72,4.74,SELL OPEN
LCID,Toxic/Meme (Priority),12.83,12.89,SELL OPEN
MARA,Toxic/Meme (Priority),11.84,11.9,SELL OPEN
OPEN,Toxic/Meme (Priority),7.05,7.09,SELL OPEN
PSNY,Toxic/Meme (Priority),12.01,12.07,SELL OPEN
PTON,Toxic/Meme (Priority),6.79,6.82,SELL OPEN
REAL,Toxic/Meme (Priority),14.26,14.33,SELL OPEN
RENT,Toxic/Meme (Priority),5.63,5.66,SELL OPEN
RIOT,Toxic/Meme (Priority),15.75,15.83,SELL OPEN
UPST,Toxic/Meme (Priority),49.13,49.38,SELL OPEN
ABAT,Standard,4.27,4.29,SELL OPEN
ABNB,Standard,128.0,128.64,SELL OPEN
ACHR,Standard,8.56,8.6,SELL OPEN
ADBE,Standard,350.43,352.18,SELL OPEN
BE,Standard,108.99,109.53,SELL OPEN
BND,Standard,74.26,74.63,SELL OPEN
BROS,Standard,61.12,61.43,SELL OPEN
CCJ,Standard,95.74,96.22,SELL OPEN
CEG,Standard,378.6,380.49,SELL OPEN
CELH,Standard,43.95,44.17,SELL OPEN
CIFR,Standard,18.88,18.97,SELL OPEN
CRWD,Standard,517.65,520.24,SELL OPEN
DDOG,Standard,149.9,150.65,SELL OPEN
DOCN,Standard,49.17,49.42,SELL OPEN
DUOL,Standard,200.96,201.96,SELL OPEN
EOSE,Standard,16.44,16.52,SELL OPEN
FI,Standard,68.16,68.5,SELL OPEN
FUBO,Standard,2.74,2.75,SELL OPEN
GLD,Standard,393.24,395.21,SELL OPEN
GLW,Standard,95.97,96.45,SELL OPEN
HIMS,Standard,37.77,37.96,SELL OPEN
HOOD,Standard,123.38,124.0,SELL OPEN
IONQ,Standard,52.55,52.81,SELL OPEN
IREN,Standard,43.94,44.16,SELL OPEN
KTOS,Standard,78.78,79.17,SELL OPEN
LEU,Standard,273.11,274.48,SELL OPEN
LRCX,Standard,168.71,169.55,SELL OPEN
LUMN,Standard,8.64,8.68,SELL OPEN
MGK,Standard,416.04,418.12,SELL OPEN
MP,Standard,60.01,60.31,SELL OPEN
MRVL,Standard,89.43,89.88,SELL OPEN
MU,Standard,258.46,259.75,SELL OPEN
NLR,Standard,138.14,138.83,SELL OPEN
NVTS,Standard,9.18,9.23,SELL OPEN
OKLO,Standard,103.0,103.51,SELL OPEN
ON,Standard,55.97,56.25,SELL OPEN
ONDS,Standard,9.02,9.07,SELL OPEN
ORCL,Standard,198.85,199.84,SELL OPEN
OSCR,Standard,15.87,15.95,SELL OPEN
PANW,Standard,190.36,191.31,SELL OPEN
PLTR,Standard,187.54,188.48,SELL OPEN
POWI,Standard,37.35,37.54,SELL OPEN
QBTS,Standard,27.98,28.12,SELL OPEN
REMX,Standard,74.99,75.36,SELL OPEN
RXRX,Standard,4.58,4.6,SELL OPEN
SHOP,Standard,164.75,165.57,SELL OPEN
SIVR,Standard,60.47,60.77,SELL OPEN
SMR,Standard,21.22,21.33,SELL OPEN
SNOW,Standard,220.51,221.61,SELL OPEN
SOUN,Standard,12.03,12.09,SELL OPEN
SPOT,Standard,598.87,601.86,SELL OPEN
STX,Standard,307.85,309.39,SELL OPEN
TMDX,Standard,127.62,128.26,SELL OPEN
TSM,Standard,304.85,306.37,SELL OPEN
TTD,Standard,37.02,37.21,SELL OPEN
U,Standard,49.23,49.48,SELL OPEN
UAMY,Standard,6.0,6.03,SELL OPEN
UBER,Standard,85.44,85.87,SELL OPEN
UNH,Standard,336.73,338.41,SELL OPEN
UUUU,Standard,15.82,15.9,SELL OPEN
VOO,Standard,633.71,636.88,SELL OPEN
VST,Standard,174.6,175.47,SELL OPEN
WWR,Standard,1.05,1.06,SELL OPEN
