Group,Ticker,Avoided Days,Avoided %,Total Ret (B&H),Total Ret (Strat),Total Ret Delta,MDD (B&H),MDD (Strat),MDD Improv,Calmar (B&H),Calmar (Strat),CAGR (B&H),CAGR (Strat),Win Rate (B&H),Win Rate (Strat)
Group A (Final),ABAT,726,48.6,7.133333666362496,134003.3381593784,133996.20482571205,-0.9875664623237095,-0.7288225130375607,0.25874394928614874,0.42943544622016583,8.678557637592032,0.4240960444200528,6.325128186971141,0.41231593038821956,0.6479250334672021
Group A (Final),UAMY,494,33.0,12.953488139992732,29530.73182155357,29517.77833341358,-0.8980582527783287,-0.6034624893320298,0.2945957634462989,0.6233852912772253,7.748233070818957,0.5598363054921345,4.6757680168411655,0.36813922356091033,0.5287817938420348
Group A (Final),LEU,653,43.7,41.01692082331723,1119.5679641895897,1078.5510433662726,-0.7823343853501357,-0.44798495094978324,0.3343494344003524,1.1230285897752488,5.064031131798165,0.8785838815124489,2.2686097381867762,0.4966532797858099,0.6613119143239625
Group A (Final),QBTS,484,38.5,1.7566503048093511,312.2065013643548,310.44985105954544,-0.9666935483622873,-0.6209902375686722,0.34570331079361505,0.23360196051070417,3.4955426952360464,0.22582150811047952,2.1706978887460693,0.4055776892430279,0.5697211155378487
Group A (Final),ONDS,549,43.5,0.46666671835632956,401.3748345252512,400.9081678068948,-0.9781818179355181,-0.6945011325707566,0.28368068536476143,0.08138413452044807,3.3381951953597673,0.07960848065632065,2.3183803439196167,0.4523809523809524,0.6484126984126984
Group A (Final),WWR,622,41.6,-0.5531914915203119,1049.4295676509776,1049.9827591424978,-0.9652542381528393,-0.7427679153011311,0.22248632285170822,-0.13163383002626844,3.0065476827139,-0.1270601123171461,2.23316715454285,0.3862115127175368,0.5903614457831325
Group A (Final),LTBR,658,44.0,2.505133489929146,279.4342402747002,276.929106784771,-0.837209301544099,-0.5368818766916612,0.3003274248524378,0.2814110378209487,2.956964299216625,0.23559993842087645,1.5875405422736644,0.4585006693440428,0.6546184738955824
Group A (Final),UUUU,695,46.5,7.459892863360565,268.63922360986146,261.1793307465009,-0.6869881593391107,-0.532243482985672,0.1547446763534387,0.6311367644364482,2.9506504070823913,0.43358348409143743,1.570464449738623,0.4799196787148594,0.6639892904953146
Group A (Final),SOUN,418,45.9,0.6039999643961629,33.20661322608242,32.60261326168626,-0.935514015352247,-0.7084545883491511,0.2270594270030959,0.14960401046377297,2.346728305197324,0.13995664854176382,1.6625504354258713,0.44224422442244227,0.6402640264026402
Group A (Final),SMR,441,46.4,1.1093437801429973,46.24020014000439,45.13085635986139,-0.8746736295475701,-0.7513314153413075,0.12334221420626257,0.2503170062562881,2.369881011165927,0.21894568439966933,1.780566054309785,0.47368421052631576,0.6694736842105263
Group A (Final),IONQ,543,43.7,3.865740584166123,69.02522327586169,65.15948269169557,-0.9000000030763688,-0.6555247595426862,0.24447524353368266,0.4210038819333391,2.0895358597197693,0.3789034950351684,1.3697424919986219,0.48831587429492346,0.6551168412570507
