Ticker,Tag,Gap%,Price,Status,Action,AI_Prob,ATR%
SIVR,,0.014695455637506759,68.634,🔴 GAP UP,SELL/TRIM,42%,0.044337949780817565
RCAT,[HOLD],0.012496869332485049,8.0291,🔴 GAP UP,SELL/TRIM,55%,0.09490042038965671
CCJ,,0.00874414859449111,92.29,🔴 GAP UP,SELL/TRIM,55%,0.03978364552411158
NLR,,0.008454131059241329,125.25,🔴 GAP UP,SELL/TRIM,67%,0.03341350612072251
UAMY,[HOLD],0.00796813131981394,5.06,🔴 GAP UP,SELL/TRIM,68%,0.1365209139714298
TMDX,,0.007316058059660348,122.54,🔴 GAP UP,SELL/TRIM,75%,0.04698707260380151
MGK,,0.006226254463095124,415.34,🔴 GAP UP,SELL/TRIM,67%,0.011736753235007884
ABNB,,0.005010306315803007,136.4,🔴 GAP UP,SELL/TRIM,21%,0.01957263632520255
RXRX,,0.004889938060137986,4.11,⚪ Flat,-,62%,0.06805568880773297
GRAB,,0.004008062084009686,5.01,⚪ Flat,-,65%,0.03364102205107188
QBTS,,0.0034416972383414265,26.24,⚪ Flat,-,51%,0.09957525819644962
TSM,[HOLD],0.0033564293079603805,304.91,⚪ Flat,-,40%,0.02558095579852137
LRCX,,0.0030377809701373467,171.7,⚪ Flat,-,38%,0.034499184726062455
ABAT,,0.00296409763026913,3.3499,⚪ Flat,-,-,0.11557377500147113
MU,,0.0025927484264590375,286.15,⚪ Flat,-,-,0.048013761754512
REMX,,0.0025703711547778287,74.11,⚪ Flat,-,-,0.029610220182781193
V,,0.0021051825237675364,351.4483,⚪ Flat,-,-,0.013609491987617307
STX,,0.0018518658064400912,275.9,⚪ Flat,-,-,0.04830509916787556
OPEN,,0.0017152789750961527,5.84,⚪ Flat,-,-,0.08179441858495914
BND,,0.0016200932316753369,74.19,⚪ Flat,-,-,0.0023398134538878505
IREN,[HOLD],0.0015885502120504592,37.83,⚪ Flat,-,-,0.10193336288231036
CRWD,,0.0015786121233869485,469.5,⚪ Flat,-,-,0.029095575114047808
QCOM,,0.0014615430796955473,171.3,⚪ Flat,-,-,0.02113777271065954
CELH,,0.001311725389845054,45.8,⚪ Flat,-,-,0.037355234113674675
VOO,[HOLD],0.0012836176086613324,627.935,⚪ Flat,-,-,0.00881106172681586
PANW,,0.0012486593679067607,184.43,⚪ Flat,-,-,0.02147879788894296
VST,[HOLD],0.0009297599159664105,161.48,⚪ Flat,-,-,0.041382591589450055
EOSE,,0.0008725970174294109,11.47,⚪ Flat,-,-,0.09330016586502804
BRK-B,,0.0007361108286252278,503.02,⚪ Flat,-,-,0.01178430088791497
SMR,[HOLD],0.0007057109140587815,14.18,⚪ Flat,-,-,0.11268358952072098
MCD,,0.0005562121338600001,305.8,⚪ Flat,-,-,0.013888494149715245
IBM,,0.00039940767811618555,296.3283,⚪ Flat,-,-,0.02082816954227075
MRVL,,0.00023177973980161577,84.9997,⚪ Flat,-,-,0.043567052933500196
AMZN,,0.00012993967086707278,230.85,⚪ Flat,-,-,0.01795177132505864
GLW,,2.7882666975178783e-08,87.56,⚪ Flat,-,-,0.029761457469241512
IONQ,,2.380466363367885e-08,44.87,⚪ Flat,-,-,0.08510668605965872
LUMN,,2.454760096347515e-09,7.77,⚪ Flat,-,-,0.05835127040096293
FI,,0.0,67.16999816894531,⚪ Flat,-,-,0.02652540743032167
PLTR,,0.0,177.75,⚪ Flat,-,-,0.03876255279883756
POWI,,-2.576047611193672e-08,35.54,⚪ Flat,-,-,0.03382957973364324
ANET,,-7.630908486617954e-05,131.02,⚪ Flat,-,-,0.03311998973954731
OKLO,,-0.00013938316517160236,71.75,⚪ Flat,-,-,0.10171624335258568
NVDA,[HOLD],-0.00021447721179620397,186.46,⚪ Flat,-,-,0.028378443262996177
GLD,,-0.00027755433693670174,396.2,⚪ Flat,-,-,0.01646809153190861
TSLA,,-0.0002919621550002419,449.5887,⚪ Flat,-,-,0.036301875709375056
GOOG,[HOLD],-0.0003227781928264487,313.6987,⚪ Flat,-,-,0.021637616661718543
