Ticker,Tag,Gap%,Price,Status,Action,Sell%,Mom%,Dip%,ATR%
SIVR,,0.014695455637506759,68.634,🟢 MOMENTUM,HOLD,42%,63%,60%,0.044337949780817565
RCAT,[HOLD],0.012496869332485049,8.0291,🔴 GAP UP(ETH),SELL/TRIM,55%,50%,67%,0.09490042038965671
CCJ,,0.00874414859449111,92.29,🔴 GAP UP(ETH),SELL/TRIM,55%,44%,63%,0.03978364552411158
NLR,,0.008454131059241329,125.25,🔴 GAP UP(ETH),SELL/TRIM,67%,36%,62%,0.03341350612072251
UAMY,[HOLD],0.00796813131981394,5.06,🔴 GAP UP(ETH),SELL/TRIM,68%,27%,63%,0.1365209139714298
TMDX,,0.007316058059660348,122.54,🔴 GAP UP(ETH),SELL/TRIM,75%,22%,65%,0.04698707260380151
MGK,,0.006226254463095124,415.34,🔴 GAP UP(ETH),SELL/TRIM,67%,31%,60%,0.011736753235007884
ABNB,,0.005010306315803007,136.4,🟢 MOMENTUM,HOLD,21%,81%,58%,0.01957263632520255
RXRX,,0.004889938060137986,4.11,⚪ Flat,-,63%,33%,67%,0.06805568880773297
GRAB,,0.004008062084009686,5.01,⚪ Flat,-,65%,32%,64%,0.03364102205107188
QBTS,,0.0034416972383414265,26.24,⚪ Flat,-,51%,56%,66%,0.09957525819644962
TSM,[HOLD],0.0033564293079603805,304.91,⚪ Flat,-,40%,65%,56%,0.02558095579852137
LRCX,,0.0030377809701373467,171.7,⚪ Flat,-,38%,63%,56%,0.034499184726062455
ABAT,,0.00296409763026913,3.3499,⚪ Flat,-,76%,34%,74%,0.11557377500147113
MU,,0.0025927484264590375,286.15,⚪ Flat,-,26%,75%,60%,0.048013761754512
REMX,,0.0025703711547778287,74.11,⚪ Flat,-,38%,63%,56%,0.029610220182781193
V,,0.0021051825237675364,351.4483,⚪ Flat,-,38%,67%,58%,0.013609491987617307
STX,,0.0018518658064400912,275.9,⚪ Flat,-,67%,40%,64%,0.04830509916787556
OPEN,,0.0017152789750961527,5.84,⚪ Flat,-,83%,23%,72%,0.08179441858495914
BND,,0.0016200932316753369,74.19,⚪ Flat,-,57%,47%,57%,0.0023398136944540893
IREN,[HOLD],0.0015885502120504592,37.83,⚪ Flat,-,66%,31%,71%,0.10193336288231036
CRWD,,0.0015786121233869485,469.5,⚪ Flat,-,86%,18%,66%,0.029095575114047808
QCOM,,0.0014615430796955473,171.3,⚪ Flat,-,62%,44%,62%,0.02113777271065954
CELH,,0.001311725389845054,45.8,⚪ Flat,-,39%,60%,57%,0.037355234113674675
VOO,[HOLD],0.0012836176086613324,627.935,⚪ Flat,-,51%,43%,62%,0.00881106172681586
PANW,,0.0012486593679067607,184.43,⚪ Flat,-,78%,25%,66%,0.02147879788894296
VST,[HOLD],0.0009297599159664105,161.48,⚪ Flat,-,72%,26%,66%,0.041382591589450055
EOSE,,0.0008725970174294109,11.47,⚪ Flat,-,69%,28%,72%,0.09330016586502804
BRK-B,,0.0007361108286252278,503.02,⚪ Flat,-,53%,48%,60%,0.01178430088791497
SMR,[HOLD],0.0007057109140587815,14.18,⚪ Flat,-,83%,19%,72%,0.11268358952072098
MCD,,0.0005562121338600001,305.8,⚪ Flat,-,67%,36%,63%,0.013888494149715245
IBM,,0.00039940767811618555,296.3283,⚪ Flat,-,80%,26%,67%,0.02082816954227075
MRVL,,0.00023177973980161577,84.9997,⚪ Flat,-,63%,33%,64%,0.043567052933500196
AMZN,,0.00012993967086707278,230.85,⚪ Flat,-,48%,54%,60%,0.01795177132505864
GLW,,2.7882666975178783e-08,87.56,⚪ Flat,-,52%,49%,62%,0.029761457469241512
IONQ,,2.380466363367885e-08,44.87,⚪ Flat,-,58%,43%,67%,0.08510668605965872
LUMN,,2.454760096347515e-09,7.77,⚪ Flat,-,57%,45%,68%,0.05835127040096293
FI,,0.0,67.16999816894531,⚪ Flat,-,72%,24%,61%,0.02652540743032167
PLTR,,0.0,177.75,⚪ Flat,-,60%,43%,60%,0.03876255279883756
POWI,,-2.576047611193672e-08,35.54,⚪ Flat,-,69%,32%,63%,0.03382957973364324
ANET,,-7.630908486617954e-05,131.02,⚪ Flat,-,53%,48%,60%,0.03311998973954731
OKLO,,-0.00013938316517160236,71.75,⚪ Flat,-,83%,22%,71%,0.10171624335258568
NVDA,[HOLD],-0.00021447721179620397,186.46,⚪ Flat,-,45%,61%,60%,0.028378443262996177
GLD,,-0.00027755433693670174,396.2,⚪ Flat,-,55%,55%,61%,0.01646809153190861
TSLA,,-0.0002919621550002419,449.5887,⚪ Flat,-,59%,44%,60%,0.036301875709375056
GOOG,[HOLD],-0.0003227781928264487,313.6987,⚪ Flat,-,39%,64%,56%,0.021637616661718543
BROS,,-0.0003267105570778432,61.2,⚪ Flat,-,48%,57%,61%,0.034456185835776316
SHOP,,-0.000434871219309627,160.9,⚪ Flat,-,55%,51%,61%,0.035560393433852686
MSFT,,-0.0005187856575837021,483.3691,⚪ Flat,-,67%,39%,61%,0.014767005983981845
TTD,,-0.0005268462843783115,37.94,⚪ Flat,-,67%,31%,63%,0.03081009477786312
SPOT,,-0.0006516539380029648,580.3316,⚪ Flat,-,66%,35%,63%,0.02665619001637183
AMD,[HOLD],-0.000688754480701775,214.0125,⚪ Flat,-,52%,48%,61%,0.03857987616544389
CEG,,-0.000764256863215817,353.0,⚪ Flat,-,52%,48%,65%,0.04030677311190752
UNH,,-0.001120794183697478,329.74,⚪ Flat,-,58%,52%,61%,0.022258435223987155
ON,,-0.0011837769911838155,54.0859,⚪ Flat,-,45%,51%,61%,0.029445477767621332
ADBE,,-0.0012000064175942727,349.57,⚪ Flat,-,39%,62%,56%,0.022241766750604314
SNOW,,-0.0012308561706797234,219.09,⚪ Flat,-,76%,19%,61%,0.03268506563599131
UBER,,-0.0013462132628216496,81.6,⚪ Flat,-,77%,19%,67%,0.025826769300477198
ACHR,,-0.0013696783181700286,7.5097,⚪ Flat,-,67%,33%,68%,0.06087257269244477
DDOG,,-0.0013972018934406347,135.8,⚪ Flat,-,87%,11%,70%,0.030176872738636555
SOFI,[HOLD],-0.0015278955198435437,26.14,⚪ Flat,-,65%,42%,64%,0.04383489559475852
NET,,-0.0015723758867937732,196.84,⚪ Flat,-,61%,43%,61%,0.032327301955533884
