Ticker,Pool,Threshold,Events,Win Rate,Avg Fade Return
ABAT,Asset,0.005,1098,0.6284153005464481,0.013845516313535125
ABNB,Asset,0.005,383,0.4856396866840731,-0.00014882488245259414
ACHR,Asset,0.005,514,0.5719844357976653,0.0036819581605608714
ADBE,Asset,0.005,707,0.48797736916548795,0.00033464808927788906
AFRM,Toxic,0.005,500,0.5,-0.0012664182011461543
AMC,Toxic,0.005,855,0.5508771929824562,0.0021497566159766513
AMD,Asset,0.005,1094,0.5036563071297989,-0.0005825827557051997
AMZN,Asset,0.005,806,0.49503722084367247,0.00039514809658081307
ANET,Asset,0.005,847,0.4675324675324675,-0.001044291273728127
APP,Asset,0.005,422,0.490521327014218,-0.0013109633436536462
BB,Toxic,0.005,776,0.47809278350515466,-0.001092492103514859
BBBY,Toxic,0.005,907,0.5413450937155457,0.0017601963052393038
BE,Asset,0.005,764,0.5287958115183246,-0.0009962481713912791
BIRD,Toxic,0.005,441,0.6009070294784581,0.0057202770580186395
BND,Asset,0.005,54,0.5740740740740741,0.0004876716134226185
BRK-B,Asset,0.005,440,0.47954545454545455,-0.0002439717692303993
BROS,Asset,0.005,343,0.5160349854227405,0.0007625001348986116
BYND,Toxic,0.005,552,0.5670289855072463,0.003804961937102812
BZFD,Toxic,0.005,332,0.5903614457831325,0.006548538459524739
CCJ,Asset,0.005,910,0.5164835164835165,-0.00013443320179060361
CEG,Asset,0.005,305,0.5508196721311476,-0.0008441848824732711
CELH,Asset,0.005,959,0.5443169968717414,0.0012726596810754024
CIFR,Asset,0.005,523,0.5506692160611855,0.00272438648054047
CLOV,Toxic,0.005,495,0.5474747474747474,0.004146857223433256
CRWD,Asset,0.005,612,0.4803921568627451,0.0008998937448099557
CVNA,Toxic,0.005,797,0.5169385194479298,-0.0023961974856357864
DDOG,Asset,0.005,593,0.5311973018549747,0.00042909370407158924
DNA,Toxic,0.005,466,0.5515021459227468,0.003915267773892522
DOCN,Asset,0.005,443,0.5214446952595937,0.0020167654288479006
DUOL,Asset,0.005,350,0.4942857142857143,0.00020979698073695437
EOSE,Asset,0.005,549,0.5719489981785064,0.003006714734855665
FI,Asset,0.005,534,0.45131086142322097,-0.000721757099892729
FUBO,Asset,0.005,624,0.5144230769230769,0.003490810925089938
GLD,Asset,0.005,595,0.4823529411764706,7.295437646440019e-05
GLW,Asset,0.005,670,0.44328358208955226,-0.001632195146440974
GME,Toxic,0.005,757,0.5257595772787318,-0.002013973015933908
GOOG,Asset,0.005,654,0.46636085626911317,-0.0003469416681806231
GRAB,Asset,0.005,489,0.5644171779141104,0.0032310726627524707
HIMS,Asset,0.005,548,0.5474452554744526,-0.00033060043491654035
HOOD,Asset,0.005,395,0.4936708860759494,-0.0020171942630657826
IBM,Asset,0.005,444,0.42792792792792794,-0.0016190811344400286
IONQ,Asset,0.005,551,0.5698729582577132,0.0034663033339228347
IREN,Asset,0.005,474,0.5421940928270043,0.0031220575566411795
KOSS,Toxic,0.005,975,0.6215384615384615,0.008318523167107548
KTOS,Asset,0.005,877,0.507411630558723,0.0005205579581674422
LCID,Toxic,0.005,511,0.5577299412915852,0.002745607475196795
LEU,Asset,0.005,1167,0.585261353898886,0.0062220399527824054
LRCX,Asset,0.005,956,0.4602510460251046,-0.0015082209158124799
LTBR,Asset,0.005,1280,0.615625,0.011106579770691247
LUMN,Asset,0.005,716,0.4622905027932961,-0.002570790041310759
MARA,Toxic,0.005,1203,0.6026600166251039,0.007372759943548658
MCD,Asset,0.005,356,0.5168539325842697,8.330625103397843e-05
MGK,Asset,0.005,558,0.4211469534050179,-0.00047680015220595676
MP,Asset,0.005,561,0.5472370766488414,0.0031647789040621373
MRVL,Asset,0.005,968,0.5134297520661157,0.00034090927783483654
MSFT,Asset,0.005,652,0.495398773006135,0.0003594989927326271
MU,Asset,0.005,1081,0.4708603145235893,-0.000791593047064806
NET,Asset,0.005,594,0.494949494949495,-0.0011643231489392664
NLR,Asset,0.005,697,0.4949784791965567,0.0013132498943752677
NVDA,Asset,0.005,1037,0.46383799421407906,-0.0013090150390199762
