Ticker,Cat,Gap%,Thres%,GapUpPx,GapDnPx,Fade%,ATR%,Price,Status,AI Prob,Decision
LEU,A,0.0056499629702524866,0.005,261.4808926391601,258.8790927124023,0.0016026531555713758,0.08362633801896122,261.65,🔴 GAP UP,64%,GO
UAMY,A,0.003149621365008354,0.005,6.381749904155731,6.318249905109406,0.009254218835057141,0.10896607221002254,6.37,Watching,46%,SKIP
SMR,A,0.003109457495719969,0.005,16.160399923324583,15.999599924087525,0.007384615384615446,0.11463095154149722,16.13,Watching,85%,GO
RCAT,A,0.0022002031987221607,0.005,9.13545015335083,9.044550151824952,0.025668488949516115,0.08689662537819115,9.11,Watching,N/A,
NVTS,A,0.0013055029748165142,0.005,7.698299846649169,7.621699848175049,0.011572463207814675,0.09155794334257754,7.67,Flat,N/A,
MP,A,0.0007333898753431621,0.005,54.81270092010497,54.26730091094971,0.012484176805660774,0.06360209184737854,54.58,Flat,N/A,
TSM,A,0.0006693849237029876,0.005,300.29398773193356,297.3059878540039,0.000601644494952894,0.027928557374694706,299.0,Flat,N/A,
IREN,A,0.00023821957772087024,0.005,42.189899539947504,41.770099544525145,0.02098389840186502,0.10294055578540912,41.99,Flat,N/A,
WWR,A,-1.6633854094729344e-08,0.005,0.8643000143766403,0.8557000142335892,0.04338153503893218,0.11912644604469887,0.86,Flat,N/A,
GOOG,A,-0.00015843578929558322,0.005,317.248363494873,314.0916633605957,0.005670720181463081,0.025196572323243946,315.62,Flat,N/A,
DUOL,A,-0.0005534475624276731,0.005,181.59345245361325,179.78655242919922,0.006710301963588355,0.05562139918559825,180.59,Flat,N/A,
VOO,A,-0.0007877205863405837,0.005,637.9539294433594,631.6061291503906,0.001636981855174029,0.009857443304113199,634.28,Flat,N/A,
CAVA,A,-0.0011341740006259992,0.005,62.028601226806636,61.41140121459961,0.007565984223536865,0.04034742161789753,61.65,Flat,N/A,
VST,A,-0.0012966578486144661,0.005,162.76980674743652,161.15020668029786,0.010376515791148134,0.04890545310410406,161.75,Flat,N/A,
AMD,A,-0.001906590861855538,0.005,216.11519325256344,213.96479331970215,0.02642262593273011,0.044562396166675414,214.63,Flat,N/A,
UUUU,A,-0.0026490318184901073,0.005,15.175500383377074,15.024500379562378,0.01889250814332242,0.08014905074956823,15.06,Watching,N/A,
SOFI,A,-0.002911191541811036,0.005,27.617399539947506,27.342599544525147,0.005083547961990487,0.047740988997277335,27.4,Watching,N/A,
NVDA,A,-0.0029690928823464325,0.005,189.5530506134033,187.6669506072998,0.0669415480186463,0.030745182422951364,188.05,Watching,N/A,
ONDS,A,-0.005476463725540675,0.005,9.175650115013122,9.084350113868714,0.013043457799236824,0.10820444570721242,9.08,🟢 GAP DOWN,49%,SKIP
