Ticker,Gap%,Price,Target,PrevCls,Fade%,ATR%,Status,AI Prob,Decision
LEU,0.0056499629702524866,261.65,261.4808926391601,260.17999267578125,0.0016026531555713758,0.07165890551898611,✅ HIT(Pre),43%,
UAMY,0.003149621365008354,6.37,6.381749904155731,6.349999904632568,0.009254218835057141,0.08942074140716857,✅ HIT(Pre),41%,
SMR,0.003109457495719969,16.13,16.160399923324583,16.079999923706055,0.007384615384615446,0.0945543491414556,✅ HIT(Pre),64%,Bull
RCAT,0.0022002031987221607,9.11,9.13545015335083,9.09000015258789,0.025668488949516115,0.07641536863032529,✅ HIT(Pre),28%,Bear
NVTS,0.0013055029748165142,7.67,7.698299846649169,7.659999847412109,0.011572457765640793,0.07739491147854569,✅ HIT(Pre),54%,
MP,0.0007333898753431621,54.58,54.81270092010497,54.540000915527344,0.012484176805660774,0.054030086024953156,✅ HIT(Pre),44%,
TSM,0.0006693849237029876,299.0,300.29398773193356,298.79998779296875,0.0006016200287039464,0.02664579099495414,Waiting,33%,Bear
IREN,0.00023821957772087024,41.99,42.189899539947504,41.97999954223633,0.02098389840186502,0.08974353650175702,✅ HIT(Pre),56%,
WWR,-1.6633854094729344e-08,0.86,0.8643000143766403,0.8600000143051147,0.04338153503893218,0.10224494165399244,✅ HIT(Pre),52%,
GOOG,-0.00015843578929558322,315.62,317.248363494873,315.6700134277344,0.005670720181463081,0.02313924738690636,✅ HIT(Pre),86%,Bull
DUOL,-0.0005534475624276731,180.59,181.59345245361325,180.69000244140625,0.006710301963588355,0.050386977444426356,✅ HIT(Pre),30%,Bear
VOO,-0.0007877205863405837,634.28,637.9539294433594,634.780029296875,0.001636981855174029,0.008657761290048142,Waiting,27%,Bear
CAVA,-0.0011341740006259992,61.65,62.028601226806636,61.720001220703125,0.007565984223536865,0.038267206153353724,✅ HIT(Pre),12%,Bear
VST,-0.0012966578486144661,161.75,162.76980674743652,161.9600067138672,0.010376515791148134,0.0447756293064904,✅ HIT(Pre),50%,
AMD,-0.001906590861855538,214.63,216.11519325256344,215.0399932861328,0.02642262593273011,0.03696950858525534,✅ HIT(Pre),23%,Bear
UUUU,-0.0026490318184901073,15.06,15.175500383377074,15.100000381469727,0.01889250814332242,0.06760487702928439,✅ HIT(Pre),55%,
SOFI,-0.002911191541811036,27.4,27.617399539947506,27.479999542236328,0.005083547961990487,0.04143447620536446,Waiting,61%,Bull
NVDA,-0.0029690928823464325,188.05,189.5530506134033,188.61000061035156,0.0669415480186463,0.0270227649583868,✅ HIT(Pre),22%,Bear
ONDS,-0.005476463725540675,9.08,9.175650115013122,9.130000114440918,0.013043457799236824,0.10332431479995219,✅ HIT(Pre),66%,Bull
