Feature,Importance_Mean,Importance_Std
ATR_Pct,0.009287300625883298,0.0012910240321186385
Rel_Gap_QQQ,0.0028602193956524637,0.0009326475915401721
VIX,0.0018507301971868839,0.0018796268400824913
RSI_14,0.0013392556699643233,0.001373119727149655
Crypto_Corr,0.0008816205666599463,0.002194709899523288
Vol_Ratio,0.0007470220068645339,0.00175506664209837
Dist_MA20,0.0006931825829463612,0.001300827361588474
Rel_Gap_SPY,0.0006056935190793423,0.001975666619604437
Gap_Pct,0.0001413284877851806,0.001063860920162593
BTC_RSI,-0.0016421024295040054,0.002317519863078014
Days_To_End,-0.0017430513493505607,0.0015619958442444333
Days_From_Start,-0.006830876909617078,0.0025008271146298887
BTC_Trend,-0.00806918365973484,0.0019216154198779239
