PT,SL,Win_Rate,Avg_Return,Total_Return,Max_Drawdown,Trade_Count
,,0.5396439234767223,0.003726691055691183,33.700467216615365,-1.2471408093063907,9043
,0.02,0.4178922923808471,0.00267753912882731,24.212986341985363,-0.9291928756517507,9043
,0.005,0.19340926683622692,0.0021237066966408465,19.204679657723176,-0.47516770058001967,9043
,0.01,0.2956983302001548,0.0020972519044264526,18.96544897172841,-0.6554461420350712,9043
0.01,,0.7692137564967378,0.0010103483659693881,9.136580273461178,-1.253104430478782,9043
0.005,,0.865310184673228,0.00032786983906260195,2.9649269546431096,-1.5957976657319044,9043
0.002,,0.9372995687271923,-0.00025802894407707464,-2.333355741288986,-4.070657370582737,9043
0.01,0.005,0.19849607431162225,-0.0020738506684035607,-18.7538315943734,-19.073831594374383,9043
0.005,0.005,0.2021453057613624,-0.0029729513253112334,-26.884398834789483,-26.879398834788432,9043
0.002,0.005,0.2045781267278558,-0.0035610019300330413,-32.20214045328879,-32.19714045328731,9043
0.01,0.01,0.3152714807033064,-0.003665522642773697,-33.147321258602545,-33.20732125860452,9043
0.01,0.02,0.48247263076412694,-0.004776783930817156,-43.19645708637954,-43.23645708638252,9043
0.005,0.01,0.3259980095101183,-0.005030432213876973,-45.49019851008947,-45.50019851008729,9043
0.002,0.01,0.33440230012164107,-0.005950615228134943,-53.81141350802429,-53.81541350801975,9043
0.005,0.02,0.51432046887095,-0.006644817090628516,-60.08908095055367,-60.10908095055439,9043
0.002,0.02,0.5385380957646798,-0.0079629330858331,-72.00880389518872,-72.01680389518957,9043
