,PnL_Baseline,PnL_VariantA,PnL_VariantB
2023-01-03,13247.443849090967,17628.64806815202,15008.55730978808
2023-01-04,24.407282168206827,684.3891257660969,400.12579588375655
2023-01-05,2221.077915057191,3268.7075553966033,2594.0577346369664
2023-01-06,0.0,0.0,0.0
2023-01-09,-976.8891577760386,-82.20971284971412,-246.06547409737078
2023-01-10,-3313.5628173934756,-2518.2509895863277,-2233.197157127443
2023-01-11,-1339.3937945970738,-898.2633482227432,-1143.7352496010012
2023-01-12,-113.9350835781348,-453.00677179619396,-280.1286982372766
2023-01-13,-430.8977120881565,-90.0930779145105,285.49311356966587
2023-01-16,0.0,0.0,0.0
2023-01-17,1816.1707239439297,2106.3428511559105,3242.3624659117927
2023-01-18,4929.247099634292,5559.800806256504,7544.858836376736
2023-01-19,310.07723283626444,155.03861641813222,197.74972918497465
2023-01-20,33.175776577807746,16.587888288903873,17.658083846698258
2023-01-23,254.23705697709275,381.3555854656391,572.5984571960794
2023-01-24,4763.802138943505,6640.214651457905,7816.907154597067
2023-01-25,176.99098239742966,265.4864735961445,180.77594059626236
2023-01-26,3664.0437010390233,4737.866597369753,3821.973321701429
2023-01-27,-1851.4374901674446,-889.8767697176885,-1171.6026225702703
2023-01-30,2678.909900417835,3960.0848426232087,5457.169100092486
2023-01-31,-593.2208098614778,-296.6104049307389,-390.36700480013855
2023-02-01,-523.1349013832657,-682.3133735552728,-581.5560880127844
2023-02-02,-281.0948106523432,-789.4965129844301,-515.5784295878948
2023-02-03,1365.1823464070842,1750.5519281154857,3046.119113886042
2023-02-06,-1080.3215824507683,-1352.1307048754538,-1261.1889315253445
2023-02-07,3097.4908517742265,5078.0166520017665,5203.880368993514
2023-02-08,1725.6658557381393,2350.0605863284295,2525.518371172828
2023-02-09,17232.89023369344,24341.066656507137,29708.12205975964
2023-02-10,1983.4371672149034,1528.9042263079807,1697.2818398646507
2023-02-13,1321.738726610489,1321.738726610489,1038.4251989146644
2023-02-14,-101.44882933948058,-152.17324400922087,-109.17287099276867
2023-02-15,-2770.4214121896653,-3944.8695112165465,-3616.1049366905836
2023-02-16,-210.96155510225722,-105.48077755112861,-141.43905523601887
2023-02-17,395.53103864863243,780.1816618564881,743.6209241242174
2023-02-20,0.0,0.0,0.0
2023-02-21,1869.9167704874342,2409.9787458306364,2328.124948343942
2023-02-22,-309.6608033968329,-112.9537117460263,-156.6843599620819
2023-02-23,6940.3866175513585,5539.275320524845,5728.3783891681105
2023-02-24,-341.57967559046546,-170.78983779523273,-213.10237550387998
2023-02-27,6094.696257628027,8714.468855694304,8447.476705466703
2023-02-28,1835.3241004700867,2351.1922674078523,1767.9119223409825
2023-03-01,3525.292723134867,4668.133191787466,6461.706470425089
2023-03-02,251.93370622795595,381.3331781496948,502.70161056969357
2023-03-03,-2279.865791353619,-996.2548725669242,-1389.6053849451287
2023-03-06,1454.8003773425928,819.5556724816172,1136.4958360483408
2023-03-07,-16.26624965999997,-100.7256274841727,-66.156501549711
2023-03-08,1784.702197488101,1775.5702009478703,1949.457778686803
2023-03-09,7019.543061601351,8542.300885928582,8222.119617867724
2023-03-10,5017.277759257128,7285.450324785896,8029.862030889643
2023-03-13,-69.23159520890285,-143.8583878519106,-109.33554598146998
