Ticker,Latest_Date,Close,ER_5day,Status,Action
PLTR,2026-01-08,176.86,0.0312,✅ PASS,Trade Gaps
V,2026-01-08,352.23,0.0736,✅ PASS,Trade Gaps
MGK,2026-01-08,412.03,0.0757,✅ PASS,Trade Gaps
DUOL,2026-01-08,173.87,0.0779,✅ PASS,Trade Gaps
CRWD,2026-01-08,463.87,0.088,✅ PASS,Trade Gaps
STX,2026-01-08,284.47,0.0899,✅ PASS,Trade Gaps
TTD,2026-01-08,37.3,0.1196,✅ PASS,Trade Gaps
MRVL,2026-01-08,83.45,0.1272,✅ PASS,Trade Gaps
HOOD,2026-01-08,115.39,0.1273,✅ PASS,Trade Gaps
SNOW,2026-01-08,223.79,0.1419,✅ PASS,Trade Gaps
NVDA,2026-01-08,185.04,0.1475,✅ PASS,Trade Gaps
BND,2026-01-08,74.13,0.1579,✅ PASS,Trade Gaps
GRAB,2026-01-08,4.88,0.1642,✅ PASS,Trade Gaps
BRK-B,2026-01-08,499.77,0.1975,✅ PASS,Trade Gaps
MSFT,2026-01-08,478.11,0.206,✅ PASS,Trade Gaps
MCD,2026-01-08,308.88,0.2197,✅ PASS,Trade Gaps
FUBO,2026-01-08,2.48,0.2222,✅ PASS,Trade Gaps
GLW,2026-01-08,85.33,0.233,✅ PASS,Trade Gaps
IBM,2026-01-08,302.72,0.2375,✅ PASS,Trade Gaps
SOFI,2026-01-08,27.72,0.2508,✅ PASS,Trade Gaps
DDOG,2026-01-08,130.68,0.2538,✅ PASS,Trade Gaps
LUMN,2026-01-08,8.17,0.2564,✅ PASS,Trade Gaps
OPEN,2026-01-08,6.43,0.2703,✅ PASS,Trade Gaps
TSLA,2026-01-08,435.8,0.279,✅ PASS,Trade Gaps
ABNB,2026-01-08,138.66,0.2849,✅ PASS,Trade Gaps
BROS,2026-01-08,63.06,0.2911,✅ PASS,Trade Gaps
CIFR,2026-01-08,16.55,0.3008,✅ PASS,Trade Gaps
HIMS,2026-01-08,33.87,0.3057,✅ PASS,Trade Gaps
AMD,2026-01-08,204.68,0.3374,✅ PASS,Trade Gaps
VST,2026-01-08,150.6,0.3382,✅ PASS,Trade Gaps
LEU,2026-01-08,286.25,0.3719,✅ PASS,Trade Gaps
ANET,2026-01-08,123.72,0.3724,✅ PASS,Trade Gaps
QQQ,2026-01-08,620.47,0.3939,✅ PASS,Trade Gaps
SIVR,2026-01-08,73.2,0.3989,✅ PASS,Trade Gaps
SHOP,2026-01-08,168.28,0.4001,✅ PASS,Trade Gaps
