Ticker,Tag,Regime,Gap%,Price,Status,Action,Sell%,Mom%,Dip%,ATR%,ER
MP,[HOLD],✅ PASS,0.0064243232080277825,64.23,🔴 GAP UP,SELL/TRIM,55%,52%,54%,0.05709198073015747,0.40322619099807494
GLD,,✅ PASS,0.009866458907125801,425.79,🟢 MOMENTUM,HOLD,51%,65%,50%,0.015887227872501252,0.48148251193751107
UUUU,[HOLD],✅ PASS,0.00926879109160162,19.6,🟢 MOMENTUM,HOLD,51%,71%,59%,0.07046322057440986,0.4060147410704234
OPEN,,✅ PASS,-0.008862626454291712,6.71,🟡 GAP DOWN,HOLD,51%,53%,63%,0.08095971435802299,0.06399993896484375
RXRX,,✅ PASS,-0.00852879674465607,4.65,🟡 GAP DOWN,HOLD,51%,63%,56%,0.059671504232128796,0.17948696003555492
NLR,,✅ PASS,0.008236322722747016,142.0,🟢 MOMENTUM,HOLD,50%,65%,53%,0.030920699914042848,0.23555581175337645
REMX,,✅ PASS,0.006726491841764951,89.8,🟢 MOMENTUM,HOLD,51%,79%,51%,0.029285902673389683,0.5091077199465723
ABNB,,✅ PASS,-0.00635401783165936,139.18,🟡 GAP DOWN,HOLD,52%,78%,53%,0.022013872427398305,0.3707028091949329
DUOL,[HOLD],✅ PASS,-0.0060916950130726335,164.79,🟡 GAP DOWN,HOLD,51%,26%,65%,0.05511587943325617,0.48956757497355013
OKLO,,✅ PASS,0.005252896089669887,97.6,🟢 MOMENTUM,HOLD,50%,61%,62%,0.08667198738706362,0.08310082757441
MSFT,,✅ PASS,-0.005205373951681579,468.22,🟡 GAP DOWN,HOLD,50%,29%,60%,0.016968695704621284,0.3900494506078462
NVDA,[HOLD],✅ PASS,-0.004466915502391236,184.98,Flat,-,51%,48%,57%,0.027758377024004,0.20226443273715358
AMZN,,✅ PASS,-0.004410577397343758,241.53,Flat,-,51%,65%,54%,0.021804048319693212,0.14870986589127275
CIFR,,✅ PASS,0.004383561643835523,18.33,Flat,-,50%,66%,56%,0.0869155722428014,0.1955919767377097
IONQ,,✅ PASS,0.0042909967140131065,49.15,Flat,-,50%,47%,63%,0.07470205517051229,0.29545432026593876
ABAT,,✅ PASS,0.004081613110880679,4.92,Flat,-,52%,61%,59%,0.0991590179317831,0.3655175543569947
CRWD,,✅ PASS,-0.004038265582747725,466.13,Flat,-,50%,39%,55%,0.03161405491597799,0.20629485231552666
OSCR,,✅ PASS,0.00402766643346087,17.45,Flat,-,50%,67%,56%,0.05251655153065812,0.5243890383365142
CEG,,✅ PASS,0.0037477924782719388,334.78,Flat,-,50%,41%,61%,0.04638791128256859,0.3450254955296537
NET,,✅ PASS,-0.003179517209052608,188.11,Flat,-,50%,35%,54%,0.037821517207202386,0.30191719194681194
LTBR,,✅ PASS,0.003058080572703783,16.4,Flat,-,50%,68%,60%,0.0748951520098026,0.08163277222115177
SHOP,,✅ PASS,-0.0028667130578561325,166.96,Flat,-,51%,57%,54%,0.03745812056250086,0.09190143827257341
NVTS,[HOLD],✅ PASS,0.002644111739362819,9.48,Flat,-,50%,59%,56%,0.08458559279021849,0.42857095193317724
MU,,✅ PASS,0.0025729604135220677,339.0,Flat,-,50%,77%,58%,0.04700556525361775,0.12325553006904069
BND,,✅ PASS,0.002557905544232191,74.47,Flat,-,50%,47%,48%,0.002216218965140348,0.19999389657750583
LUMN,,✅ PASS,0.0024540346510265546,8.17,Flat,-,50%,53%,60%,0.054611054485978715,0.1327438557639479
ORCL,,✅ PASS,-0.002422231956079612,201.8,Flat,-,50%,52%,60%,0.03918263228223188,0.4112278536739243
IBM,,✅ PASS,-0.0022430520315841634,302.48,Flat,-,51%,47%,54%,0.0243999419023724,0.02284022951349604
DOCN,,✅ PASS,0.0020224418383151875,54.5,Flat,-,51%,72%,55%,0.045793361606655945,0.0711612466773202
ANET,,✅ PASS,-0.002001021245572076,129.67,Flat,-,51%,47%,55%,0.03733792644021802,0.15839867495669988
DDOG,,✅ PASS,0.001912350597609521,125.74,Flat,-,51%,15%,66%,0.04063186320761623,0.5167037771089742
TSM,[HOLD],✅ PASS,-0.0018718984060667723,330.59,Flat,-,51%,78%,53%,0.026180429883378632,0.15922515557692332
VST,[HOLD],✅ PASS,0.0015167532016798061,171.68,Flat,-,50%,56%,56%,0.05199933716771324,0.044925118757070386
SOFI,[HOLD],✅ PASS,-0.00147381689565153,27.1,Flat,-,51%,46%,59%,0.048934607299591294,0.06666666666666667
HOOD,,✅ PASS,-0.001413821247420044,120.07,Flat,-,51%,46%,60%,0.04627264008940501,0.12807007798712505
UBER,,✅ PASS,-0.0010537836114074578,85.32,Flat,-,51%,52%,57%,0.02774893534258238,0.0227665979442052
BRK-B,,✅ PASS,-0.0007269005764349467,494.88,Flat,-,50%,31%,58%,0.01242889685211532,0.3429345258369683
ON,,✅ PASS,-0.00033664109516034607,59.39,Flat,-,50%,62%,53%,0.03542431889661234,0.36321453334528253
MGK,,✅ PASS,-9.659981730578856e-05,414.09,Flat,-,51%,47%,56%,0.011621780442093459,0.07809593563988096
FUBO,,✅ PASS,2.5975565650825475e-08,2.57,Flat,-,49%,37%,61%,0.04872691747471793,0.3043471951122173
CAVA,[HOLD],✅ PASS,0.0,68.5199966430664,Flat,-,51%,80%,55%,0.037224043176889814,0.23152629132742608
PANW,,✅ PASS,0.0,190.85000610351562,Flat,-,51%,52%,57%,0.024600362368062362,0.33200339084573177
SIVR,,✅ PASS,0.0,82.55000305175781,Flat,-,51%,81%,54%,0.044175215331976596,0.38109308757006755
SMR,[HOLD],✅ PASS,0.0,19.229999542236328,Flat,-,51%,66%,59%,0.0898993726761524,0.14049581565884656
STX,,✅ PASS,0.0,318.44000244140625,Flat,-,50%,64%,59%,0.058192748844043456,0.1393024038971643
U,,✅ PASS,0.0,45.66999816894531,Flat,-,50%,50%,55%,0.050662434997738745,0.02334608114316164
UNH,,✅ PASS,0.0,333.92999267578125,Flat,-,50%,43%,58%,0.025387541273263814,0.5935284419292797
UPST,,✅ PASS,0.0,47.099998474121094,Flat,-,51%,46%,62%,0.056137947052921335,0.45547093550347206
VOO,[HOLD],✅ PASS,0.0,638.030029296875,Flat,-,50%,64%,55%,0.008130794702809065,0.20823760274307423
WWR,[HOLD],🛑 BLOCK,0.03846157655208215,1.215,🛑 BLOCK (Trendy),SKIP,62%,39%,61%,0.08731966538503953,0.7333334922791096
EOSE,,🛑 BLOCK,0.02972653473529132,17.32,🛑 BLOCK (Trendy),SKIP,52%,56%,57%,0.0717077304862275,0.8870431472644124
CCJ,,🛑 BLOCK,0.012486245445443325,110.28,🛑 BLOCK (Trendy),SKIP,52%,78%,52%,0.03785344652312403,0.7969656935710165
