Ticker,IC_Inertia,IC_Squeeze,IC_Corr,Samples
EOSE,0.06591733019461404,-0.02294955077353418,-0.031368154685158474,1275
SMR,0.04732768801280686,0.05914503025523301,0.11979858764661647,942
GLD,0.04223369316618373,-0.0910534187550378,-0.06100966768029364,1486
STX,0.040527875656074575,-0.03314879657970402,-0.09127133700116888,1486
OKLO,0.03499053651284402,0.15983523665991417,0.09205156885206278,1105
CEG,0.03350279311289594,0.008098834829305008,0.06505295247752782,970
GLW,0.029896057568984315,-0.00939348294320949,0.027498886338218422,1486
TSLA,0.022977930395377787,-0.12687443603910314,-0.023099266013495295,1486
SIVR,0.02290927210621509,-0.08827085907201339,-0.09170181172735899,1486
SPOT,0.020601379392786234,-0.041438618746096875,-0.06312691530428154,1486
IONQ,0.019112641607894467,-0.008606934233904741,-0.030074456303930807,1233
FUBO,0.017735349908789937,0.014837003271612996,0.01486966300155445,1486
TTD,0.016630271801824043,-0.02058464854033185,-0.03421653831868898,1486
BRK-B,0.016026095097338683,-0.04109233367743391,-0.01814294612864939,1486
SOUN,0.011896326138145747,0.04098810202162678,-0.0512339064760773,901
BE,0.01101145914549983,-0.026517455705991358,0.03323225167525845,1486
MCD,0.009562783814893342,-0.004189670014823083,-0.04294229326582764,1486
AMC,0.007521834058091195,-0.017494782571394696,-0.006383190710855146,1486
DUOL,0.0022884539841460097,-0.031716675927441235,-0.06195922998284269,1091
NVO,0.001688468197957838,0.002370531697184988,0.009786559268779246,1486
V,0.0007682626571245335,-0.023761696926253358,0.021803020279926217,1486
GRAB,0.0006607188783611406,-0.042386186003778914,-0.07084108789448229,1255
ABNB,0.0005699859410690972,-0.00941778964290978,0.016160856067991943,1248
KTOS,0.0004685486875208845,-0.0342330890625656,-0.02774263669253064,1486
MP,-0.0012630411838047315,-0.0008749088804056408,0.0016391317429686227,1368
CRWD,-0.001418395062001993,-0.03233600997151391,-0.009255325114029137,1486
SNOW,-0.0023797797159797033,-0.07330527063204816,-0.09474656084157582,1308
FI,-0.0028009753154531842,-0.055391121728590335,-0.0304416363284497,1486
MU,-0.005535369380286933,-0.03467452642858831,-0.018905717782295193,1486
MRVL,-0.007538908295361218,-0.06691049546589174,-0.06315999098724921,1486
UAMY,-0.011990720492230158,0.037546334799077735,0.07654761119018792,1486
LTBR,-0.012139319534096915,-0.03986132775453483,0.0347182880698023,1486
SOFI,-0.013283130984370985,-0.04829876816641243,0.04960597349557177,1233
RXRX,-0.01528993722321526,-0.021203013970084745,0.01645402285047441,1162
U,-0.016640858733055573,-0.054765061657241966,-0.03846824266029762,1306
REMX,-0.017112238864636076,-0.05631243869455846,0.010392299348804875,1486
NLR,-0.017599193052090824,0.04947395135056698,0.01005693069427096,1486
TSM,-0.018652229121427857,-0.1122430881637652,-0.007689364580537155,1486
GME,-0.021080349930043957,-0.02463980336981187,-0.06226612561844073,1486
CCJ,-0.02224193682861501,-0.0019067217140217,-0.011447269390439227,1486
TMDX,-0.025583669620432063,-0.0004553221582273958,0.02271747709827453,1486
UBER,-0.02558993434301704,0.015683863965659496,0.04434894049505158,1486
ON,-0.025941322582063903,-0.043301507780750335,-0.04238002411320065,1486
